step,time_fs,Al_height_A,Al_Mg_slab_A,nCl_bonded,AlCl1_A,AlCl2_A,qAl_mulliken
0,0.0,3.400,3.731,2,2.216,2.303,0.4529
2,1.0,3.397,3.728,2,2.213,2.300,0.4509
4,2.0,3.396,3.726,2,2.210,2.298,0.4481
6,3.0,3.395,3.724,2,2.207,2.296,0.4447
8,4.0,3.395,3.722,2,2.206,2.296,0.4412
10,5.0,3.395,3.720,2,2.205,2.297,0.4378
12,6.0,3.396,3.718,2,2.204,2.299,0.4344
14,7.0,3.398,3.716,2,2.204,2.301,0.4319
16,8.0,3.400,3.714,2,2.205,2.303,0.4312
18,9.0,3.402,3.712,2,2.205,2.306,0.4325
20,10.0,3.405,3.710,2,2.206,2.308,0.4351
22,11.0,3.409,3.708,2,2.206,2.309,0.4379
24,12.0,3.414,3.706,2,2.206,2.310,0.4403
26,13.0,3.419,3.704,2,2.206,2.310,0.4411
28,14.0,3.425,3.702,2,2.206,2.309,0.4405
30,15.0,3.432,3.700,2,2.206,2.308,0.4391
32,16.0,3.438,3.698,2,2.206,2.307,0.4376
34,17.0,3.444,3.696,2,2.207,2.305,0.4368
36,18.0,3.449,3.694,2,2.207,2.304,0.4376
38,19.0,3.455,3.692,2,2.208,2.303,0.4396
40,20.0,3.460,3.690,2,2.209,2.302,0.4416
42,21.0,3.465,3.688,2,2.211,2.301,0.4433
44,22.0,3.470,3.686,2,2.212,2.300,0.4445
46,23.0,3.474,3.684,2,2.214,2.299,0.4450
48,24.0,3.478,3.682,2,2.216,2.298,0.4446
50,25.0,3.481,3.680,2,2.219,2.297,0.4435
52,26.0,3.484,3.678,2,2.221,2.296,0.4416
54,27.0,3.486,3.676,2,2.223,2.295,0.4396
56,28.0,3.488,3.674,2,2.226,2.294,0.4380
58,29.0,3.490,3.672,2,2.228,2.293,0.4376
60,30.0,3.492,3.670,2,2.230,2.290,0.4389
62,31.0,3.494,3.668,2,2.231,2.288,0.4409
64,32.0,3.495,3.666,2,2.232,2.284,0.4429
66,33.0,3.496,3.664,2,2.232,2.279,0.4445
68,34.0,3.497,3.662,2,2.232,2.273,0.4457
70,35.0,3.498,3.660,2,2.231,2.267,0.4462
72,36.0,3.500,3.658,2,2.229,2.260,0.4460
74,37.0,3.501,3.656,2,2.228,2.253,0.4450
76,38.0,3.502,3.654,2,2.227,2.246,0.4436
78,39.0,3.502,3.652,2,2.225,2.240,0.4421
80,40.0,3.502,3.650,2,2.224,2.233,0.4411
82,41.0,3.501,3.648,2,2.223,2.227,0.4406
84,42.0,3.500,3.646,2,2.222,2.223,0.4406
86,43.0,3.499,3.644,2,2.216,2.222,0.4409
88,44.0,3.497,3.642,2,2.211,2.222,0.4411
90,45.0,3.495,3.640,2,2.207,2.222,0.4406
92,46.0,3.493,3.638,2,2.202,2.222,0.4392
94,47.0,3.491,3.636,2,2.198,2.222,0.4370
96,48.0,3.488,3.634,2,2.193,2.221,0.4343
98,49.0,3.485,3.632,2,2.188,2.220,0.4315
100,50.0,3.482,3.630,2,2.183,2.218,0.4289
102,51.0,3.479,3.628,2,2.176,2.216,0.4269
104,52.0,3.477,3.626,2,2.170,2.213,0.4254
106,53.0,3.474,3.624,2,2.163,2.210,0.4244
108,54.0,3.472,3.622,2,2.155,2.206,0.4236
110,55.0,3.470,3.620,2,2.148,2.202,0.4228
112,56.0,3.467,3.618,2,2.142,2.198,0.4220
114,57.0,3.465,3.616,2,2.136,2.195,0.4211
116,58.0,3.461,3.614,2,2.130,2.191,0.4198
118,59.0,3.458,3.612,2,2.126,2.187,0.4178
120,60.0,3.453,3.610,2,2.122,2.184,0.4155
122,61.0,3.449,3.608,2,2.119,2.181,0.4133
124,62.0,3.444,3.606,2,2.116,2.178,0.4116
126,63.0,3.440,3.604,2,2.115,2.175,0.4104
128,64.0,3.435,3.602,2,2.114,2.172,0.4098
130,65.0,3.430,3.600,2,2.113,2.168,0.4097
132,66.0,3.424,3.598,2,2.112,2.165,0.4096
134,67.0,3.419,3.596,2,2.111,2.161,0.4088
