name,E_scf_Ha,G_Ha,NImag,S2,normal,gate
AlCl3_opt,-1622.80640046,-1622.831066,0,None,True,OK
AlCl3_ox_adia,-1622.46802453,-1622.496304,1,1879048192.0,True,NImag=1
AlCl3_ox_m062x,-1622.87742778,None,0,1879048192.0,True,OK
AlCl3_ox_vert,-1623.03154044,None,0,1879048192.0,True,OK
AlCl3_ox_wb97xd,-1622.92992672,None,0,1879048192.0,True,OK
AlCl3_par_m062x,-1623.24289288,None,0,None,True,OK
AlCl3_par_wb97xd,-1623.28960669,None,0,None,True,OK
AlCl3_red_AlClscan,-1622.84678104,None,0,1879048192.0,True,OK
AlCl3_red_adia,-1622.86633639,-1622.896975,2,1879048192.0,True,NImag=2
AlCl3_red_m062x,-1623.29800314,None,0,1879048192.0,True,OK
AlCl3_red_tzvpd,-1623.42734881,None,0,1879048192.0,True,OK
AlCl3_red_vert,-1623.42747904,None,0,1879048192.0,True,OK
AlCl3_red_wb97xd,-1623.33558177,None,0,1879048192.0,True,OK
AlCl3_tzvp,-1623.37439738,None,0,None,True,OK
AlCl4m_opt,-2083.11568104,-2083.141173,0,None,True,OK
AlCl4m_ox_adia,-2082.84605179,-2082.875818,2,1879048192.0,True,NImag=2
AlCl4m_ox_m062x,-2083.38176952,None,0,1879048192.0,True,OK
AlCl4m_ox_vert,-2083.56777444,None,0,1879048192.0,True,OK
AlCl4m_ox_wb97xd,-2083.44267989,None,0,1879048192.0,True,OK
AlCl4m_par_m062x,-2083.68951927,None,0,None,True,OK
AlCl4m_par_wb97xd,-2083.74401307,None,0,None,True,OK
AlCl4m_red_AlClscan,-2083.09963328,None,0,1879048192.0,False,not-normal
AlCl4m_red_adia,-2083.08194549,-2083.110753,3,1879048192.0,True,NImag=3
AlCl4m_red_m062x,-2083.64139775,None,0,1879048192.0,True,OK
AlCl4m_red_tzvpd,-2083.84628886,None,0,1879048192.0,True,OK
AlCl4m_red_vert,-2083.80158574,None,0,1879048192.0,True,OK
AlCl4m_red_wb97xd,-2083.68575544,None,0,1879048192.0,True,OK
AlCl4m_tzvp,-2083.84943966,None,0,None,True,OK
AlPh2Cl2m_opt,-1625.85422074,-1625.714917,0,None,True,OK
AlPh2Cl2m_ox_adia,-1625.65283943,-1625.516569,0,3221225472.0,True,OK
AlPh2Cl2m_ox_m062x,-1626.16265401,None,0,3221225472.0,True,OK
AlPh2Cl2m_ox_vert,-1626.53316984,None,0,3221225472.0,True,OK
AlPh2Cl2m_ox_wb97xd,-1626.22967284,None,0,3221225472.0,True,OK
AlPh2Cl2m_par_m062x,-1626.4100124,None,0,None,True,OK
AlPh2Cl2m_par_wb97xd,-1626.47251337,None,0,None,True,OK
