charge_depth_mAh_cm2,tau_s,gamma_ohm
0.03331,1.591549e-07,0.000000e+00
0.03331,1.785748e-07,0.000000e+00
0.03331,2.003642e-07,0.000000e+00
0.03331,2.248123e-07,0.000000e+00
0.03331,2.522436e-07,0.000000e+00
0.03331,2.830220e-07,0.000000e+00
0.03331,3.175559e-07,0.000000e+00
0.03331,3.563035e-07,0.000000e+00
0.03331,3.997791e-07,0.000000e+00
0.03331,4.485596e-07,0.000000e+00
0.03331,5.032921e-07,0.000000e+00
0.03331,5.647030e-07,0.000000e+00
0.03331,6.336072e-07,0.000000e+00
0.03331,7.109190e-07,0.000000e+00
0.03331,7.976643e-07,0.000000e+00
0.03331,8.949940e-07,0.000000e+00
0.03331,1.004200e-06,0.000000e+00
0.03331,1.126731e-06,0.000000e+00
0.03331,1.264213e-06,0.000000e+00
0.03331,1.418470e-06,0.000000e+00
0.03331,1.591549e-06,0.000000e+00
0.03331,1.785748e-06,0.000000e+00
0.03331,2.003642e-06,0.000000e+00
0.03331,2.248123e-06,0.000000e+00
0.03331,2.522436e-06,0.000000e+00
0.03331,2.830220e-06,0.000000e+00
0.03331,3.175559e-06,0.000000e+00
0.03331,3.563035e-06,0.000000e+00
0.03331,3.997791e-06,0.000000e+00
0.03331,4.485596e-06,0.000000e+00
0.03331,5.032921e-06,0.000000e+00
0.03331,5.647030e-06,0.000000e+00
0.03331,6.336072e-06,0.000000e+00
0.03331,7.109190e-06,0.000000e+00
0.03331,7.976643e-06,0.000000e+00
0.03331,8.949940e-06,0.000000e+00
0.03331,1.004200e-05,0.000000e+00
0.03331,1.126731e-05,1.063893e-02
0.03331,1.264213e-05,4.645219e-02
0.03331,1.418470e-05,1.144086e-01
0.03331,1.591549e-05,2.159597e-01
0.03331,1.785748e-05,3.487987e-01
0.03331,2.003642e-05,5.083306e-01
0.03331,2.248123e-05,6.888627e-01
0.03331,2.522436e-05,8.845322e-01
0.03331,2.830220e-05,1.089992e+00
0.03331,3.175559e-05,1.300877e+00
0.03331,3.563035e-05,1.514088e+00
0.03331,3.997791e-05,1.727908e+00
0.03331,4.485596e-05,1.942000e+00
0.03331,5.032921e-05,2.157297e+00
0.03331,5.647030e-05,2.375829e+00
0.03331,6.336072e-05,2.600504e+00
0.03331,7.109190e-05,2.834865e+00
0.03331,7.976643e-05,3.082846e+00
0.03331,8.949940e-05,3.348546e+00
0.03331,1.004200e-04,3.636018e+00
0.03331,1.126731e-04,3.949107e+00
0.03331,1.264213e-04,4.291305e+00
0.03331,1.418470e-04,4.665661e+00
0.03331,1.591549e-04,5.074719e+00
0.03331,1.785748e-04,5.520494e+00
0.03331,2.003642e-04,6.004468e+00
0.03331,2.248123e-04,6.527615e+00
0.03331,2.522436e-04,7.090442e+00
0.03331,2.830220e-04,7.693031e+00
0.03331,3.175559e-04,8.335089e+00
0.03331,3.563035e-04,9.016001e+00
0.03331,3.997791e-04,9.734866e+00
0.03331,4.485596e-04,1.049053e+01
0.03331,5.032921e-04,1.128162e+01
0.03331,5.647030e-04,1.210655e+01
0.03331,6.336072e-04,1.296350e+01
0.03331,7.109190e-04,1.385045e+01
0.03331,7.976643e-04,1.476516e+01
0.03331,8.949940e-04,1.570513e+01
0.03331,1.004200e-03,1.666759e+01
0.03331,1.126731e-03,1.764953e+01
0.03331,1.264213e-03,1.864766e+01
0.03331,1.418470e-03,1.965844e+01
0.03331,1.591549e-03,2.067813e+01
0.03331,1.785748e-03,2.170282e+01
0.03331,2.003642e-03,2.272852e+01
0.03331,2.248123e-03,2.375131e+01
0.03331,2.522436e-03,2.476742e+01
0.03331,2.830220e-03,2.577348e+01
