charge_depth_mAh_cm2,tau_s,gamma_ohm
0.03331,1.591549e-07,0.000000e+00
0.03331,1.785748e-07,0.000000e+00
0.03331,2.003642e-07,0.000000e+00
0.03331,2.248123e-07,0.000000e+00
0.03331,2.522436e-07,0.000000e+00
0.03331,2.830220e-07,0.000000e+00
0.03331,3.175559e-07,0.000000e+00
0.03331,3.563035e-07,0.000000e+00
0.03331,3.997791e-07,0.000000e+00
0.03331,4.485596e-07,0.000000e+00
0.03331,5.032921e-07,0.000000e+00
0.03331,5.647030e-07,0.000000e+00
0.03331,6.336072e-07,0.000000e+00
0.03331,7.109190e-07,0.000000e+00
0.03331,7.976643e-07,0.000000e+00
0.03331,8.949940e-07,0.000000e+00
0.03331,1.004200e-06,0.000000e+00
0.03331,1.126731e-06,0.000000e+00
0.03331,1.264213e-06,0.000000e+00
0.03331,1.418470e-06,0.000000e+00
0.03331,1.591549e-06,0.000000e+00
0.03331,1.785748e-06,0.000000e+00
0.03331,2.003642e-06,0.000000e+00
0.03331,2.248123e-06,0.000000e+00
0.03331,2.522436e-06,0.000000e+00
0.03331,2.830220e-06,0.000000e+00
0.03331,3.175559e-06,0.000000e+00
0.03331,3.563035e-06,0.000000e+00
0.03331,3.997791e-06,0.000000e+00
0.03331,4.485596e-06,5.778927e-03
0.03331,5.032921e-06,2.503205e-02
0.03331,5.647030e-06,5.832420e-02
0.03331,6.336072e-06,1.017611e-01
0.03331,7.109190e-06,1.493045e-01
0.03331,7.976643e-06,1.946762e-01
0.03331,8.949940e-06,2.328187e-01
0.03331,1.004200e-05,2.609019e-01
0.03331,1.126731e-05,2.788874e-01
0.03331,1.264213e-05,2.896785e-01
0.03331,1.418470e-05,2.989020e-01
0.03331,1.591549e-05,3.143800e-01
0.03331,1.785748e-05,3.453621e-01
0.03331,2.003642e-05,4.015925e-01
0.03331,2.248123e-05,4.922946e-01
0.03331,2.522436e-05,6.251535e-01
0.03331,2.830220e-05,8.053747e-01
0.03331,3.175559e-05,1.034894e+00
0.03331,3.563035e-05,1.311799e+00
0.03331,3.997791e-05,1.630022e+00
0.03331,4.485596e-05,1.979327e+00
0.03331,5.032921e-05,2.345630e+00
0.03331,5.647030e-05,2.711636e+00
0.03331,6.336072e-05,3.057787e+00
0.03331,7.109190e-05,3.363476e+00
0.03331,7.976643e-05,3.608474e+00
0.03331,8.949940e-05,3.774495e+00
0.03331,1.004200e-04,3.846821e+00
0.03331,1.126731e-04,3.815880e+00
0.03331,1.264213e-04,3.678696e+00
0.03331,1.418470e-04,3.440109e+00
0.03331,1.591549e-04,3.113679e+00
0.03331,1.785748e-04,2.722205e+00
0.03331,2.003642e-04,2.297806e+00
0.03331,2.248123e-04,1.881535e+00
0.03331,2.522436e-04,1.522519e+00
0.03331,2.830220e-04,1.276655e+00
0.03331,3.175559e-04,1.204904e+00
0.03331,3.563035e-04,1.371259e+00
0.03331,3.997791e-04,1.840486e+00
0.03331,4.485596e-04,2.675729e+00
0.03331,5.032921e-04,3.936115e+00
0.03331,5.647030e-04,5.674458e+00
0.03331,6.336072e-04,7.935183e+00
0.03331,7.109190e-04,1.075257e+01
0.03331,7.976643e-04,1.414937e+01
0.03331,8.949940e-04,1.813594e+01
0.03331,1.004200e-03,2.270982e+01
0.03331,1.126731e-03,2.785581e+01
0.03331,1.264213e-03,3.354663e+01
0.03331,1.418470e-03,3.974395e+01
0.03331,1.591549e-03,4.639989e+01
0.03331,1.785748e-03,5.345883e+01
0.03331,2.003642e-03,6.085953e+01
0.03331,2.248123e-03,6.853741e+01
0.03331,2.522436e-03,7.642683e+01
0.03331,2.830220e-03,8.446355e+01
