cycle,dis_spec_mAhg,chg_spec_mAhg,dis_uAh,chg_uAh,CE_pct
1,95.4,72.5,95.4,72.5,131.58620689655174
2,71.8,72.0,71.8,72.0,99.72222222222223
3,70.9,72.0,70.9,72.0,98.47222222222223
4,70.1,59.1,70.1,59.1,118.6125211505922
5,58.9,58.8,58.9,58.8,100.17006802721089
6,58.6,58.7,58.6,58.7,99.82964224872232
7,58.4,58.5,58.4,58.5,99.82905982905983
8,58.2,58.3,58.2,58.3,99.82847341337909
9,58.0,58.1,58.0,58.1,99.82788296041308
10,57.9,58.0,57.9,58.0,99.82758620689654
11,57.7,57.8,57.7,57.8,99.82698961937717
12,57.6,57.8,57.6,57.8,99.65397923875433
13,57.6,57.8,57.6,57.8,99.65397923875433
14,57.5,57.6,57.5,57.6,99.82638888888889
15,57.4,57.6,57.4,57.6,99.65277777777777
16,57.3,57.5,57.3,57.5,99.65217391304347
17,57.2,57.3,57.2,57.3,99.82547993019199
18,57.1,57.2,57.1,57.2,99.82517482517483
19,56.9,57.1,56.9,57.1,99.64973730297723
20,56.9,57.0,56.9,57.0,99.82456140350877
21,56.7,57.0,56.7,57.0,99.47368421052633
22,56.7,56.7,56.7,56.7,100.0
23,56.5,56.6,56.5,56.6,99.82332155477032
24,56.4,56.5,56.4,56.5,99.82300884955751
25,56.3,56.5,56.3,56.5,99.64601769911503
26,56.3,56.4,56.3,56.4,99.822695035461
27,56.1,56.3,56.1,56.3,99.64476021314388
28,56.0,56.2,56.0,56.2,99.64412811387899
29,56.0,56.1,56.0,56.1,99.8217468805704
30,55.8,56.0,55.8,56.0,99.64285714285714
31,55.8,55.9,55.8,55.9,99.82110912343471
32,55.7,55.7,55.7,55.7,100.0
33,55.5,55.7,55.5,55.7,99.64093357271095
34,55.4,55.5,55.4,55.5,99.81981981981983
35,55.3,55.5,55.3,55.5,99.63963963963963
36,55.3,55.4,55.3,55.4,99.81949458483754
37,55.2,55.3,55.2,55.3,99.81916817359856
38,55.1,55.2,55.1,55.2,99.81884057971014
39,55.0,55.1,55.0,55.1,99.8185117967332
40,54.9,55.1,54.9,55.1,99.63702359346642
41,54.9,55.2,54.9,55.2,99.45652173913044
42,55.0,54.9,55.0,54.9,100.18214936247722
43,54.7,54.8,54.7,54.8,99.81751824817519
44,54.3,53.8,54.3,53.8,100.92936802973978
45,53.9,54.5,53.9,54.5,98.89908256880734
46,54.4,54.6,54.4,54.6,99.63369963369962
47,54.5,54.6,54.5,54.6,99.81684981684981
48,54.4,54.5,54.4,54.5,99.81651376146789
49,54.3,53.9,54.3,53.9,100.7421150278293
50,54.1,54.4,54.1,54.4,99.44852941176471
51,54.2,54.3,54.2,54.3,99.81583793738491
52,54.1,54.2,54.1,54.2,99.81549815498155
53,54.1,54.3,54.1,54.3,99.63167587476981
54,54.1,54.0,54.1,54.0,100.18518518518518
55,53.8,54.0,53.8,54.0,99.62962962962962
56,53.9,54.0,53.9,54.0,99.81481481481481
57,53.9,54.2,53.9,54.2,99.44649446494465
58,54.1,53.9,54.1,53.9,100.37105751391466
59,53.8,53.9,53.8,53.9,99.81447124304268
60,53.8,53.9,53.8,53.9,99.81447124304268
61,53.7,53.8,53.7,53.8,99.81412639405207
62,53.6,53.7,53.6,53.7,99.81378026070763
63,53.6,53.7,53.6,53.7,99.81378026070763
64,53.6,53.7,53.6,53.7,99.81378026070763
65,53.5,53.7,53.5,53.7,99.62756052141526
66,53.5,53.6,53.5,53.6,99.81343283582089
67,53.4,53.7,53.4,53.7,99.4413407821229
68,53.5,53.5,53.5,53.5,100.0
69,53.4,53.5,53.4,53.5,99.81308411214953
70,53.4,53.4,53.4,53.4,100.0
71,53.3,53.5,53.3,53.5,99.62616822429906
72,53.3,53.3,53.3,53.3,100.0
73,53.2,53.3,53.2,53.3,99.81238273921201
74,53.2,53.3,53.2,53.3,99.81238273921201
75,53.2,53.3,53.2,53.3,99.81238273921201
76,53.2,53.2,53.2,53.2,100.0
77,53.1,53.2,53.1,53.2,99.81203007518796
78,53.0,53.1,53.0,53.1,99.81167608286252
79,53.0,53.1,53.0,53.1,99.81167608286252
80,53.0,53.1,53.0,53.1,99.81167608286252
81,53.0,53.1,53.0,53.1,99.81167608286252
82,53.0,53.1,53.0,53.1,99.81167608286252
83,53.0,53.1,53.0,53.1,99.81167608286252
84,52.9,53.0,52.9,53.0,99.81132075471699
85,52.9,53.0,52.9,53.0,99.81132075471699
86,52.9,53.2,52.9,53.2,99.4360902255639
87,53.1,53.0,53.1,53.0,100.18867924528303
88,52.8,52.9,52.8,52.9,99.8109640831758
89,52.8,52.8,52.8,52.8,100.0
90,52.7,52.8,52.7,52.8,99.81060606060606
91,52.7,52.8,52.7,52.8,99.81060606060606
92,52.6,52.7,52.6,52.7,99.81024667931689
93,52.6,52.7,52.6,52.7,99.81024667931689
94,52.7,52.8,52.7,52.8,99.81060606060606
95,52.6,52.7,52.6,52.7,99.81024667931689
96,52.9,53.0,52.9,53.0,99.81132075471699
97,52.7,52.7,52.7,52.7,100.0
98,52.6,52.7,52.6,52.7,99.81024667931689
99,52.6,52.7,52.6,52.7,99.81024667931689
100,52.6,52.7,52.6,52.7,99.81024667931689
101,52.6,52.7,52.6,52.7,99.81024667931689
102,52.6,52.6,52.6,52.6,100.0
103,52.4,52.5,52.4,52.5,99.80952380952381
104,52.4,52.5,52.4,52.5,99.80952380952381
105,52.5,52.6,52.5,52.6,99.80988593155892
106,52.4,52.4,52.4,52.4,100.0
107,52.4,52.5,52.4,52.5,99.80952380952381
108,52.3,52.4,52.3,52.4,99.80916030534351
