cycle,dis_spec_mAhg,chg_spec_mAhg,dis_uAh,chg_uAh,CE_pct
1,98.0,63.6,98.0,63.6,154.0880503144654
2,63.5,64.2,63.5,64.2,98.90965732087227
3,63.1,64.6,63.1,64.6,97.6780185758514
4,61.3,48.6,61.3,48.6,126.13168724279835
5,48.7,48.5,48.7,48.5,100.41237113402062
6,48.4,48.3,48.4,48.3,100.20703933747413
7,48.3,48.2,48.3,48.2,100.20746887966806
8,48.1,48.0,48.1,48.0,100.20833333333334
9,48.0,48.0,48.0,48.0,100.0
10,48.0,48.0,48.0,48.0,100.0
11,48.0,48.0,48.0,48.0,100.0
12,48.0,48.2,48.0,48.2,99.58506224066389
13,48.1,48.0,48.1,48.0,100.20833333333334
14,47.9,47.8,47.9,47.8,100.2092050209205
15,47.8,47.8,47.8,47.8,100.0
16,47.8,47.7,47.8,47.7,100.20964360587001
17,47.7,47.7,47.7,47.7,100.0
18,47.6,47.7,47.6,47.7,99.79035639412997
19,47.6,47.6,47.6,47.6,100.0
20,47.5,47.5,47.5,47.5,100.0
21,47.5,47.5,47.5,47.5,100.0
22,47.4,47.4,47.4,47.4,100.0
23,47.3,47.4,47.3,47.4,99.78902953586497
24,47.3,47.2,47.3,47.2,100.21186440677965
25,47.2,47.2,47.2,47.2,100.0
26,47.1,47.2,47.1,47.2,99.78813559322035
27,47.1,47.1,47.1,47.1,100.0
28,47.1,47.1,47.1,47.1,100.0
29,47.0,47.1,47.0,47.1,99.78768577494692
30,47.1,47.1,47.1,47.1,100.0
31,47.0,47.0,47.0,47.0,100.0
32,46.9,46.9,46.9,46.9,100.0
33,46.9,46.8,46.9,46.8,100.21367521367522
34,46.8,46.8,46.8,46.8,100.0
35,46.8,46.8,46.8,46.8,100.0
36,46.7,46.7,46.7,46.7,100.0
37,46.7,46.8,46.7,46.8,99.7863247863248
38,46.7,46.7,46.7,46.7,100.0
39,46.7,46.6,46.7,46.6,100.21459227467811
40,46.6,46.6,46.6,46.6,100.0
41,46.6,46.6,46.6,46.6,100.0
42,46.5,46.5,46.5,46.5,100.0
43,46.5,46.5,46.5,46.5,100.0
44,46.5,46.5,46.5,46.5,100.0
45,46.4,46.4,46.4,46.4,100.0
46,46.3,46.3,46.3,46.3,100.0
47,46.3,46.3,46.3,46.3,100.0
48,46.4,46.5,46.4,46.5,99.78494623655914
49,46.3,46.2,46.3,46.2,100.2164502164502
50,46.2,46.2,46.2,46.2,100.0
51,46.2,46.2,46.2,46.2,100.0
52,46.1,46.2,46.1,46.2,99.78354978354979
53,46.1,46.1,46.1,46.1,100.0
54,46.1,46.0,46.1,46.0,100.21739130434784
55,46.0,46.0,46.0,46.0,100.0
56,46.0,46.0,46.0,46.0,100.0
57,45.9,46.0,45.9,46.0,99.78260869565217
58,45.9,46.0,45.9,46.0,99.78260869565217
59,45.9,46.0,45.9,46.0,99.78260869565217
60,45.9,45.9,45.9,45.9,100.0
61,45.9,45.8,45.9,45.8,100.21834061135371
62,45.7,45.8,45.7,45.8,99.7816593886463
63,45.7,45.7,45.7,45.7,100.0
64,45.7,45.8,45.7,45.8,99.7816593886463
65,45.7,45.8,45.7,45.8,99.7816593886463
66,45.7,45.9,45.7,45.9,99.56427015250546
67,45.9,45.7,45.9,45.7,100.43763676148797
68,45.6,45.6,45.6,45.6,100.0
69,45.6,45.5,45.6,45.5,100.21978021978022
70,45.5,45.5,45.5,45.5,100.0
71,45.5,45.6,45.5,45.6,99.78070175438596
72,45.5,45.5,45.5,45.5,100.0
73,45.4,45.4,45.4,45.4,100.0
74,45.4,45.4,45.4,45.4,100.0
75,45.3,45.3,45.3,45.3,100.0
76,45.3,45.4,45.3,45.4,99.77973568281938
77,45.3,45.3,45.3,45.3,100.0
78,45.3,45.3,45.3,45.3,100.0
79,45.3,45.3,45.3,45.3,100.0
80,45.3,45.3,45.3,45.3,100.0
81,45.2,45.2,45.2,45.2,100.0
82,45.2,45.2,45.2,45.2,100.0
83,45.2,45.2,45.2,45.2,100.0
84,45.1,45.2,45.1,45.2,99.7787610619469
85,45.1,45.1,45.1,45.1,100.0
86,45.1,45.3,45.1,45.3,99.55849889624724
87,45.3,45.1,45.3,45.1,100.44345898004434
88,45.1,45.0,45.1,45.0,100.22222222222223
89,45.0,45.0,45.0,45.0,100.0
90,45.0,45.0,45.0,45.0,100.0
91,45.0,45.0,45.0,45.0,100.0
92,45.0,45.0,45.0,45.0,100.0
93,44.9,44.9,44.9,44.9,100.0
94,44.8,44.9,44.8,44.9,99.7772828507795
95,44.9,44.9,44.9,44.9,100.0
96,44.9,44.8,44.9,44.8,100.22321428571428
97,44.8,44.8,44.8,44.8,100.0
98,44.8,44.8,44.8,44.8,100.0
99,44.8,44.8,44.8,44.8,100.0
100,44.8,44.8,44.8,44.8,100.0
101,44.7,44.7,44.7,44.7,100.0
102,44.7,44.7,44.7,44.7,100.0
103,44.6,44.7,44.6,44.7,99.77628635346755
104,44.6,44.6,44.6,44.6,100.0
105,44.6,44.6,44.6,44.6,100.0
106,44.6,44.6,44.6,44.6,100.0
107,44.6,44.7,44.6,44.7,99.77628635346755
108,44.7,44.6,44.7,44.6,100.22421524663679
109,44.6,44.6,44.6,44.6,100.0
110,44.5,44.5,44.5,44.5,100.0
111,44.5,44.5,44.5,44.5,100.0
112,44.4,44.5,44.4,44.5,99.7752808988764
113,44.4,44.4,44.4,44.4,100.0
114,44.4,44.4,44.4,44.4,100.0
115,44.4,44.4,44.4,44.4,100.0
116,44.4,44.4,44.4,44.4,100.0
117,44.4,44.4,44.4,44.4,100.0
118,44.3,44.4,44.3,44.4,99.77477477477478
119,44.3,44.3,44.3,44.3,100.0
120,44.3,44.3,44.3,44.3,100.0
121,44.2,44.3,44.2,44.3,99.7742663656885
122,44.3,44.3,44.3,44.3,100.0
123,44.2,44.2,44.2,44.2,100.0
124,44.2,44.2,44.2,44.2,100.0
