frame,n_deposited_mg,z_order_0002,I0002_z,I10m10_xy,texture_I0002_over_I10m10,mean_height_A
1978,0,nan,nan,nan,nan,nan
1979,0,nan,nan,nan,nan,nan
1980,0,nan,nan,nan,nan,nan
1981,0,nan,nan,nan,nan,nan
1982,0,nan,nan,nan,nan,nan
1983,0,nan,nan,nan,nan,nan
1984,0,nan,nan,nan,nan,nan
1985,0,nan,nan,nan,nan,nan
1986,0,nan,nan,nan,nan,nan
1987,0,nan,nan,nan,nan,nan
1988,0,nan,nan,nan,nan,nan
1989,0,nan,nan,nan,nan,nan
1990,0,nan,nan,nan,nan,nan
1991,0,nan,nan,nan,nan,nan
1992,0,nan,nan,nan,nan,nan
1993,0,nan,nan,nan,nan,nan
1994,0,nan,nan,nan,nan,nan
1995,0,nan,nan,nan,nan,nan
1996,0,nan,nan,nan,nan,nan
1997,0,nan,nan,nan,nan,nan
1998,0,nan,nan,nan,nan,nan
1999,0,nan,nan,nan,nan,nan
2000,0,nan,nan,nan,nan,nan
2001,0,nan,nan,nan,nan,nan
2002,0,nan,nan,nan,nan,nan
2003,0,nan,nan,nan,nan,nan
2004,0,nan,nan,nan,nan,nan
2005,0,nan,nan,nan,nan,nan
2006,0,nan,nan,nan,nan,nan
2007,0,nan,nan,nan,nan,nan
2008,0,nan,nan,nan,nan,nan
2009,0,nan,nan,nan,nan,nan
2010,0,nan,nan,nan,nan,nan
2011,0,nan,nan,nan,nan,nan
2012,0,nan,nan,nan,nan,nan
2013,0,nan,nan,nan,nan,nan
2014,0,nan,nan,nan,nan,nan
2015,0,nan,nan,nan,nan,nan
2016,0,nan,nan,nan,nan,nan
2017,0,nan,nan,nan,nan,nan
2018,0,nan,nan,nan,nan,nan
2019,0,nan,nan,nan,nan,nan
2020,0,nan,nan,nan,nan,nan
2021,0,nan,nan,nan,nan,nan
2022,0,nan,nan,nan,nan,nan
2023,0,nan,nan,nan,nan,nan
2024,0,nan,nan,nan,nan,nan
2025,0,nan,nan,nan,nan,nan
2026,0,nan,nan,nan,nan,nan
2027,0,nan,nan,nan,nan,nan
2028,0,nan,nan,nan,nan,nan
2029,0,nan,nan,nan,nan,nan
2030,0,nan,nan,nan,nan,nan
2031,0,nan,nan,nan,nan,nan
2032,0,nan,nan,nan,nan,nan
2033,0,nan,nan,nan,nan,nan
2034,0,nan,nan,nan,nan,nan
2035,0,nan,nan,nan,nan,nan
2036,0,nan,nan,nan,nan,nan
2037,0,nan,nan,nan,nan,nan
2038,0,nan,nan,nan,nan,nan
2039,0,nan,nan,nan,nan,nan
2040,0,nan,nan,nan,nan,nan
2041,0,nan,nan,nan,nan,nan
2042,0,nan,nan,nan,nan,nan
2043,0,nan,nan,nan,nan,nan
2044,0,nan,nan,nan,nan,nan
2045,0,nan,nan,nan,nan,nan
2046,0,nan,nan,nan,nan,nan
2047,0,nan,nan,nan,nan,nan
2048,0,nan,nan,nan,nan,nan
2049,0,nan,nan,nan,nan,nan
2050,0,nan,nan,nan,nan,nan
2051,0,nan,nan,nan,nan,nan
2052,0,nan,nan,nan,nan,nan
