frame,n_deposited_mg,z_order_0002,I0002_z,I10m10_xy,texture_I0002_over_I10m10,mean_height_A
1664,0,nan,nan,nan,nan,nan
1665,0,nan,nan,nan,nan,nan
1666,0,nan,nan,nan,nan,nan
1667,0,nan,nan,nan,nan,nan
1668,0,nan,nan,nan,nan,nan
1669,0,nan,nan,nan,nan,nan
1670,0,nan,nan,nan,nan,nan
1671,0,nan,nan,nan,nan,nan
1672,0,nan,nan,nan,nan,nan
1673,0,nan,nan,nan,nan,nan
1674,0,nan,nan,nan,nan,nan
1675,0,nan,nan,nan,nan,nan
1676,0,nan,nan,nan,nan,nan
1677,0,nan,nan,nan,nan,nan
1678,0,nan,nan,nan,nan,nan
1679,0,nan,nan,nan,nan,nan
1680,0,nan,nan,nan,nan,nan
1681,0,nan,nan,nan,nan,nan
1682,0,nan,nan,nan,nan,nan
1683,0,nan,nan,nan,nan,nan
1684,0,nan,nan,nan,nan,nan
1685,0,nan,nan,nan,nan,nan
1686,0,nan,nan,nan,nan,nan
1687,0,nan,nan,nan,nan,nan
1688,0,nan,nan,nan,nan,nan
1689,0,nan,nan,nan,nan,nan
1690,0,nan,nan,nan,nan,nan
1691,0,nan,nan,nan,nan,nan
1692,0,nan,nan,nan,nan,nan
1693,0,nan,nan,nan,nan,nan
1694,0,nan,nan,nan,nan,nan
1695,0,nan,nan,nan,nan,nan
1696,0,nan,nan,nan,nan,nan
1697,0,nan,nan,nan,nan,nan
1698,0,nan,nan,nan,nan,nan
1699,0,nan,nan,nan,nan,nan
1700,0,nan,nan,nan,nan,nan
1701,0,nan,nan,nan,nan,nan
1702,0,nan,nan,nan,nan,nan
1703,0,nan,nan,nan,nan,nan
1704,0,nan,nan,nan,nan,nan
1705,0,nan,nan,nan,nan,nan
1706,0,nan,nan,nan,nan,nan
1707,0,nan,nan,nan,nan,nan
1708,0,nan,nan,nan,nan,nan
1709,0,nan,nan,nan,nan,nan
1710,0,nan,nan,nan,nan,nan
1711,0,nan,nan,nan,nan,nan
1712,0,nan,nan,nan,nan,nan
1713,0,nan,nan,nan,nan,nan
1714,0,nan,nan,nan,nan,nan
1715,0,nan,nan,nan,nan,nan
1716,0,nan,nan,nan,nan,nan
1717,0,nan,nan,nan,nan,nan
1718,0,nan,nan,nan,nan,nan
1719,0,nan,nan,nan,nan,nan
1720,0,nan,nan,nan,nan,nan
1721,0,nan,nan,nan,nan,nan
1722,0,nan,nan,nan,nan,nan
1723,0,nan,nan,nan,nan,nan
1724,0,nan,nan,nan,nan,nan
1725,0,nan,nan,nan,nan,nan
1726,0,nan,nan,nan,nan,nan
1727,0,nan,nan,nan,nan,nan
1728,0,nan,nan,nan,nan,nan
1729,0,nan,nan,nan,nan,nan
1730,0,nan,nan,nan,nan,nan
1731,0,nan,nan,nan,nan,nan
1732,0,nan,nan,nan,nan,nan
1733,0,nan,nan,nan,nan,nan
1734,0,nan,nan,nan,nan,nan
1735,0,nan,nan,nan,nan,nan
1736,0,nan,nan,nan,nan,nan
1737,0,nan,nan,nan,nan,nan
1738,0,nan,nan,nan,nan,nan
1739,0,nan,nan,nan,nan,nan
1740,0,nan,nan,nan,nan,nan
1741,0,nan,nan,nan,nan,nan
1742,0,nan,nan,nan,nan,nan
1743,0,nan,nan,nan,nan,nan
1744,0,nan,nan,nan,nan,nan
1745,0,nan,nan,nan,nan,nan
1746,0,nan,nan,nan,nan,nan
1747,0,nan,nan,nan,nan,nan
1748,0,nan,nan,nan,nan,nan
1749,0,nan,nan,nan,nan,nan
1750,0,nan,nan,nan,nan,nan
1751,0,nan,nan,nan,nan,nan
1752,0,nan,nan,nan,nan,nan
1753,0,nan,nan,nan,nan,nan
1754,0,nan,nan,nan,nan,nan
1755,0,nan,nan,nan,nan,nan
1756,0,nan,nan,nan,nan,nan
1757,0,nan,nan,nan,nan,nan
1758,0,nan,nan,nan,nan,nan
1759,0,nan,nan,nan,nan,nan
1760,0,nan,nan,nan,nan,nan
1761,0,nan,nan,nan,nan,nan
1762,0,nan,nan,nan,nan,nan
1763,0,nan,nan,nan,nan,nan
1764,0,nan,nan,nan,nan,nan
1765,0,nan,nan,nan,nan,nan
1766,0,nan,nan,nan,nan,nan
1767,0,nan,nan,nan,nan,nan
1768,0,nan,nan,nan,nan,nan
1769,0,nan,nan,nan,nan,nan
1770,0,nan,nan,nan,nan,nan
1771,0,nan,nan,nan,nan,nan
1772,0,nan,nan,nan,nan,nan
1773,0,nan,nan,nan,nan,nan
1774,0,nan,nan,nan,nan,nan
1775,0,nan,nan,nan,nan,nan
1776,0,nan,nan,nan,nan,nan
1777,0,nan,nan,nan,nan,nan
1778,0,nan,nan,nan,nan,nan
1779,0,nan,nan,nan,nan,nan
1780,0,nan,nan,nan,nan,nan
1781,0,nan,nan,nan,nan,nan
1782,0,nan,nan,nan,nan,nan
1783,0,nan,nan,nan,nan,nan
1784,0,nan,nan,nan,nan,nan
1785,0,nan,nan,nan,nan,nan
1786,0,nan,nan,nan,nan,nan
1787,0,nan,nan,nan,nan,nan
1788,0,nan,nan,nan,nan,nan
1789,0,nan,nan,nan,nan,nan
1790,0,nan,nan,nan,nan,nan
1791,0,nan,nan,nan,nan,nan
1792,0,nan,nan,nan,nan,nan
1793,0,nan,nan,nan,nan,nan
1794,0,nan,nan,nan,nan,nan
1795,0,nan,nan,nan,nan,nan
1796,0,nan,nan,nan,nan,nan
1797,0,nan,nan,nan,nan,nan
1798,0,nan,nan,nan,nan,nan
1799,0,nan,nan,nan,nan,nan
1800,0,nan,nan,nan,nan,nan
1801,0,nan,nan,nan,nan,nan
1802,0,nan,nan,nan,nan,nan
1803,0,nan,nan,nan,nan,nan
1804,0,nan,nan,nan,nan,nan
1805,0,nan,nan,nan,nan,nan
1806,0,nan,nan,nan,nan,nan
1807,0,nan,nan,nan,nan,nan
1808,0,nan,nan,nan,nan,nan
1809,0,nan,nan,nan,nan,nan
1810,0,nan,nan,nan,nan,nan
1811,0,nan,nan,nan,nan,nan
1812,0,nan,nan,nan,nan,nan
1813,0,nan,nan,nan,nan,nan
1814,0,nan,nan,nan,nan,nan
1815,0,nan,nan,nan,nan,nan
1816,0,nan,nan,nan,nan,nan
1817,0,nan,nan,nan,nan,nan
1818,0,nan,nan,nan,nan,nan
1819,0,nan,nan,nan,nan,nan
1820,0,nan,nan,nan,nan,nan
1821,0,nan,nan,nan,nan,nan
1822,0,nan,nan,nan,nan,nan
1823,0,nan,nan,nan,nan,nan
1824,0,nan,nan,nan,nan,nan
1825,0,nan,nan,nan,nan,nan
1826,0,nan,nan,nan,nan,nan
1827,0,nan,nan,nan,nan,nan
1828,0,nan,nan,nan,nan,nan
1829,0,nan,nan,nan,nan,nan
1830,0,nan,nan,nan,nan,nan
1831,0,nan,nan,nan,nan,nan
1832,0,nan,nan,nan,nan,nan
1833,0,nan,nan,nan,nan,nan
1834,0,nan,nan,nan,nan,nan
1835,0,nan,nan,nan,nan,nan
1836,0,nan,nan,nan,nan,nan
1837,0,nan,nan,nan,nan,nan
1838,0,nan,nan,nan,nan,nan
1839,0,nan,nan,nan,nan,nan
1840,0,nan,nan,nan,nan,nan
1841,0,nan,nan,nan,nan,nan
1842,0,nan,nan,nan,nan,nan
1843,0,nan,nan,nan,nan,nan
1844,0,nan,nan,nan,nan,nan
1845,0,nan,nan,nan,nan,nan
1846,0,nan,nan,nan,nan,nan
1847,0,nan,nan,nan,nan,nan
1848,0,nan,nan,nan,nan,nan
1849,0,nan,nan,nan,nan,nan
1850,0,nan,nan,nan,nan,nan
1851,0,nan,nan,nan,nan,nan
1852,0,nan,nan,nan,nan,nan
1853,0,nan,nan,nan,nan,nan
1854,0,nan,nan,nan,nan,nan
1855,0,nan,nan,nan,nan,nan
1856,0,nan,nan,nan,nan,nan
1857,0,nan,nan,nan,nan,nan
1858,0,nan,nan,nan,nan,nan
1859,0,nan,nan,nan,nan,nan
1860,0,nan,nan,nan,nan,nan
1861,0,nan,nan,nan,nan,nan
1862,0,nan,nan,nan,nan,nan
1863,0,nan,nan,nan,nan,nan
1864,0,nan,nan,nan,nan,nan
1865,0,nan,nan,nan,nan,nan
1866,0,nan,nan,nan,nan,nan
1867,0,nan,nan,nan,nan,nan
1868,0,nan,nan,nan,nan,nan
1869,0,nan,nan,nan,nan,nan
1870,0,nan,nan,nan,nan,nan
1871,0,nan,nan,nan,nan,nan
1872,0,nan,nan,nan,nan,nan
1873,0,nan,nan,nan,nan,nan
1874,0,nan,nan,nan,nan,nan
1875,0,nan,nan,nan,nan,nan
1876,0,nan,nan,nan,nan,nan
1877,0,nan,nan,nan,nan,nan
1878,0,nan,nan,nan,nan,nan
1879,0,nan,nan,nan,nan,nan
1880,0,nan,nan,nan,nan,nan
1881,0,nan,nan,nan,nan,nan
1882,0,nan,nan,nan,nan,nan
1883,0,nan,nan,nan,nan,nan
1884,0,nan,nan,nan,nan,nan
1885,0,nan,nan,nan,nan,nan
1886,0,nan,nan,nan,nan,nan
1887,0,nan,nan,nan,nan,nan
1888,0,nan,nan,nan,nan,nan
1889,0,nan,nan,nan,nan,nan
1890,0,nan,nan,nan,nan,nan
1891,0,nan,nan,nan,nan,nan
1892,0,nan,nan,nan,nan,nan
1893,0,nan,nan,nan,nan,nan
1894,0,nan,nan,nan,nan,nan
1895,0,nan,nan,nan,nan,nan
1896,0,nan,nan,nan,nan,nan
1897,0,nan,nan,nan,nan,nan
1898,0,nan,nan,nan,nan,nan
1899,0,nan,nan,nan,nan,nan
1900,0,nan,nan,nan,nan,nan
1901,0,nan,nan,nan,nan,nan
1902,0,nan,nan,nan,nan,nan
1903,0,nan,nan,nan,nan,nan
1904,0,nan,nan,nan,nan,nan
1905,0,nan,nan,nan,nan,nan
1906,0,nan,nan,nan,nan,nan
1907,0,nan,nan,nan,nan,nan
1908,0,nan,nan,nan,nan,nan
1909,0,nan,nan,nan,nan,nan
1910,0,nan,nan,nan,nan,nan
1911,0,nan,nan,nan,nan,nan
1912,0,nan,nan,nan,nan,nan
1913,0,nan,nan,nan,nan,nan
1914,0,nan,nan,nan,nan,nan
1915,0,nan,nan,nan,nan,nan
1916,0,nan,nan,nan,nan,nan
1917,0,nan,nan,nan,nan,nan
1918,0,nan,nan,nan,nan,nan
1919,0,nan,nan,nan,nan,nan
1920,0,nan,nan,nan,nan,nan
1921,0,nan,nan,nan,nan,nan
1922,0,nan,nan,nan,nan,nan
1923,0,nan,nan,nan,nan,nan
1924,0,nan,nan,nan,nan,nan
1925,0,nan,nan,nan,nan,nan
