step,t_ps,T_K,Epot_eV,Al_height_A,Al_slabMin_A,Al_nCl,Al_nO,Al_SiMin_A
0,0.000,280.1,-124881.398,4.771,5.074,2,0,nan
50,0.050,479.8,-124884.383,4.795,5.080,2,0,nan
100,0.100,503.7,-124885.125,4.777,5.057,2,0,nan
150,0.150,482.7,-124885.086,4.769,5.003,2,0,nan
200,0.200,397.2,-124884.336,4.972,5.202,2,0,nan
250,0.250,391.5,-124884.547,4.843,5.118,2,0,nan
300,0.300,419.1,-124885.141,4.946,5.195,2,0,nan
350,0.350,407.1,-124885.711,5.044,5.268,2,0,nan
400,0.400,415.6,-124885.781,5.164,5.401,2,0,nan
450,0.450,409.9,-124885.852,5.514,5.703,2,0,nan
500,0.500,414.9,-124886.062,5.601,5.812,2,0,nan
550,0.550,388.9,-124886.125,5.684,5.907,2,0,nan
600,0.600,388.1,-124885.953,5.565,5.815,2,0,nan
650,0.650,401.7,-124886.617,5.470,5.684,2,0,nan
700,0.700,399.1,-124886.609,5.339,5.570,2,0,nan
750,0.750,361.1,-124886.016,5.367,5.560,2,0,nan
800,0.800,352.1,-124886.211,5.441,5.587,2,0,nan
850,0.850,352.5,-124886.500,5.423,5.566,2,0,nan
900,0.900,368.5,-124886.922,5.514,5.652,2,0,nan
950,0.950,401.4,-124887.297,5.446,5.573,2,0,nan
1000,1.000,361.6,-124887.062,5.360,5.494,2,0,nan
1050,1.050,338.5,-124886.914,5.414,5.531,2,0,nan
1100,1.100,308.5,-124886.078,5.434,5.534,2,0,nan
1150,1.150,349.6,-124886.711,5.302,5.399,2,0,nan
1200,1.200,323.2,-124886.672,5.478,5.563,2,0,nan
1250,1.250,329.8,-124886.734,5.406,5.470,2,0,nan
1300,1.300,348.1,-124887.102,5.396,5.454,2,0,nan
1350,1.350,384.4,-124887.578,5.556,5.633,2,0,nan
1400,1.400,344.4,-124886.891,5.492,5.575,2,0,nan
1450,1.450,366.2,-124887.156,5.556,5.668,2,0,nan
1500,1.500,317.0,-124886.641,5.497,5.641,2,0,nan
1550,1.550,344.8,-124886.656,5.465,5.605,2,0,nan
1600,1.600,370.7,-124887.156,5.389,5.525,2,0,nan
1650,1.650,352.4,-124887.352,5.346,5.474,2,0,nan
1700,1.700,348.9,-124887.562,5.198,5.303,2,0,nan
1750,1.750,353.8,-124887.844,5.190,5.313,2,0,nan
1800,1.800,335.2,-124887.227,5.087,5.230,2,0,nan
1850,1.850,320.7,-124887.492,4.921,5.065,2,0,nan
1900,1.900,357.7,-124887.742,4.674,4.863,2,0,nan
1950,1.950,330.4,-124887.727,4.563,4.734,2,0,nan
2000,2.000,332.6,-124887.547,4.584,4.747,2,0,nan
2050,2.050,316.2,-124887.477,4.454,4.658,2,0,nan
2100,2.100,335.4,-124887.539,4.407,4.629,2,0,nan
2150,2.150,340.0,-124887.523,4.313,4.546,2,0,nan
2200,2.200,359.9,-124887.828,4.286,4.559,2,0,nan
2250,2.250,353.8,-124887.930,4.242,4.500,2,0,nan
2300,2.300,366.0,-124887.852,4.094,4.375,2,0,nan
2350,2.350,341.1,-124887.680,3.934,4.260,2,0,nan
2400,2.400,304.0,-124886.953,4.024,4.324,2,0,nan
2450,2.450,336.7,-124887.742,4.104,4.425,2,0,nan
2500,2.500,361.3,-124887.930,4.234,4.594,2,0,nan
2550,2.550,359.4,-124887.992,4.316,4.690,2,0,nan
