step,t_ps,T_K,Epot_eV,Al_height_A,Al_slabMin_A,Al_nCl,Al_nO,Al_SiMin_A
0,0.000,287.5,-124881.242,4.771,5.074,2,0,nan
50,0.050,477.0,-124884.195,4.768,5.095,2,0,nan
100,0.100,513.0,-124885.289,4.795,5.120,2,0,nan
150,0.150,465.4,-124885.078,4.653,4.949,2,0,nan
200,0.200,457.8,-124885.633,4.968,5.228,2,0,nan
250,0.250,445.1,-124886.023,4.895,5.119,2,0,nan
300,0.300,412.4,-124885.766,4.898,5.067,2,0,nan
350,0.350,393.3,-124885.062,4.785,4.963,2,0,nan
400,0.400,447.8,-124885.961,4.899,5.030,2,0,nan
450,0.450,412.7,-124885.586,5.048,5.134,2,0,nan
500,0.500,399.1,-124885.695,5.005,5.105,2,0,nan
550,0.550,395.9,-124885.867,5.057,5.122,2,0,nan
600,0.600,374.0,-124886.102,4.915,4.990,2,0,nan
650,0.650,373.0,-124886.438,4.961,5.053,2,0,nan
700,0.700,368.8,-124886.438,4.928,4.999,2,0,nan
750,0.750,380.6,-124887.219,4.920,4.996,2,0,nan
800,0.800,343.4,-124886.695,4.831,4.893,2,0,nan
850,0.850,315.5,-124886.742,4.778,4.825,2,0,nan
900,0.900,358.2,-124887.148,4.868,4.954,2,0,nan
950,0.950,357.4,-124887.406,4.732,4.830,2,0,nan
1000,1.000,308.3,-124886.781,4.581,4.701,2,0,nan
1050,1.050,320.7,-124886.773,4.609,4.753,2,0,nan
1100,1.100,325.3,-124886.992,4.386,4.508,2,0,nan
1150,1.150,379.8,-124887.625,4.330,4.456,2,0,nan
1200,1.200,332.4,-124887.406,4.279,4.397,2,0,nan
1250,1.250,312.0,-124887.617,4.099,4.220,2,0,nan
1300,1.300,346.8,-124888.398,4.010,4.170,2,0,nan
1350,1.350,306.8,-124888.125,3.853,4.041,2,0,nan
1400,1.400,287.4,-124887.781,3.771,3.997,2,0,nan
1450,1.450,307.7,-124888.219,3.773,3.942,2,0,nan
1500,1.500,321.3,-124888.430,3.734,3.923,2,0,nan
1550,1.550,283.4,-124887.781,3.585,3.767,2,0,nan
1600,1.600,282.4,-124888.023,3.523,3.691,2,0,nan
1650,1.650,307.6,-124887.930,3.471,3.665,2,0,nan
1700,1.700,326.6,-124888.070,3.661,3.838,2,0,nan
1750,1.750,319.1,-124887.711,3.843,4.035,2,0,nan
1800,1.800,322.6,-124887.609,3.733,3.909,2,0,nan
1850,1.850,317.5,-124887.547,3.972,4.122,2,0,nan
1900,1.900,356.1,-124888.148,4.058,4.170,2,0,nan
1950,1.950,336.0,-124887.922,4.035,4.123,2,0,nan
2000,2.000,319.5,-124887.594,4.181,4.249,2,0,nan
2050,2.050,323.3,-124887.875,4.003,4.065,2,0,nan
2100,2.100,301.2,-124887.438,3.973,4.024,2,0,nan
2150,2.150,335.2,-124887.961,3.939,3.995,2,0,nan
2200,2.200,357.9,-124888.398,3.816,3.867,2,0,nan
2250,2.250,325.1,-124887.898,3.897,3.953,2,0,nan
2300,2.300,322.1,-124887.367,3.938,4.018,2,0,nan
2350,2.350,301.5,-124887.148,3.947,4.058,2,0,nan
2400,2.400,335.0,-124887.453,4.010,4.170,2,0,nan
2450,2.450,357.0,-124887.680,3.819,4.006,2,0,nan
2500,2.500,338.6,-124887.867,3.812,4.073,2,0,nan
2550,2.550,339.2,-124887.922,3.918,4.181,2,0,nan
2600,2.600,331.1,-124887.812,4.018,4.297,2,0,nan
2650,2.650,326.0,-124887.688,4.001,4.280,2,0,nan
2700,2.700,290.6,-124887.281,4.179,4.427,2,0,nan
2750,2.750,334.6,-124887.930,4.088,4.343,2,0,nan
2800,2.800,311.8,-124887.633,4.149,4.367,2,0,nan
2850,2.850,326.8,-124887.648,4.202,4.431,2,0,nan
2900,2.900,311.3,-124887.602,4.153,4.424,2,0,nan
2950,2.950,322.4,-124887.617,4.104,4.360,2,0,nan
3000,3.000,317.9,-124887.711,4.157,4.511,2,0,nan
3050,3.050,325.7,-124887.633,4.113,4.445,2,0,nan
3100,3.100,324.6,-124887.648,4.209,4.518,2,0,nan
3150,3.150,331.2,-124887.852,4.110,4.429,2,0,nan
3200,3.200,330.8,-124887.664,4.217,4.529,2,0,nan
3250,3.250,352.4,-124887.797,4.159,4.513,2,0,nan
3300,3.300,332.9,-124887.539,4.054,4.441,2,0,nan
3350,3.350,342.2,-124887.695,4.098,4.515,2,0,nan
3400,3.400,339.1,-124887.219,3.981,4.418,2,0,nan
3450,3.450,321.6,-124887.039,4.028,4.433,2,0,nan
3500,3.500,313.9,-124886.773,4.217,4.570,2,0,nan
3550,3.550,321.1,-124886.938,3.975,4.313,2,0,nan
3600,3.600,375.4,-124887.586,4.074,4.412,2,0,nan
3650,3.650,323.3,-124887.164,3.933,4.231,2,0,nan
3700,3.700,341.3,-124887.539,3.846,4.189,2,0,nan
3750,3.750,305.0,-124887.500,3.972,4.249,2,0,nan
3800,3.800,299.6,-124887.453,4.014,4.272,2,0,nan
3850,3.850,323.3,-124887.352,3.907,4.195,2,0,nan
3900,3.900,338.7,-124887.367,4.019,4.242,2,0,nan
3950,3.950,338.4,-124887.352,4.015,4.253,2,0,nan
4000,4.000,350.3,-124887.672,3.984,4.201,2,0,nan
4050,4.050,367.1,-124887.961,4.178,4.394,2,0,nan
4100,4.100,351.5,-124887.680,4.139,4.330,2,0,nan
4150,4.150,328.9,-124887.477,4.209,4.371,2,0,nan
4200,4.200,313.0,-124887.273,4.321,4.448,2,0,nan
4250,4.250,322.4,-124887.258,4.233,4.391,2,0,nan
4300,4.300,322.2,-124887.250,4.155,4.295,2,0,nan
4350,4.350,347.5,-124887.539,4.014,4.156,2,0,nan
4400,4.400,316.3,-124887.078,3.980,4.132,2,0,nan
4450,4.450,326.5,-124887.867,4.052,4.238,2,0,nan
4500,4.500,324.4,-124887.734,4.084,4.350,2,0,nan
4550,4.550,334.4,-124887.945,4.193,4.493,2,0,nan
4600,4.600,292.6,-124887.727,4.014,4.329,2,0,nan
4650,4.650,338.2,-124888.133,4.120,4.440,2,0,nan
4700,4.700,283.3,-124887.531,4.194,4.528,2,0,nan
4750,4.750,294.0,-124887.844,4.175,4.511,2,0,nan
4800,4.800,326.9,-124888.375,4.058,4.345,2,0,nan
4850,4.850,316.5,-124888.359,4.121,4.357,2,0,nan
4900,4.900,293.2,-124888.109,4.168,4.426,2,0,nan
4950,4.950,317.0,-124888.375,4.141,4.374,2,0,nan
5000,5.000,321.0,-124888.391,4.060,4.321,2,0,nan
5000,5.000,321.0,-124888.391,4.060,4.321,2,0,nan
5050,5.050,282.2,-124888.078,3.812,4.115,2,0,nan
5100,5.100,319.5,-124888.688,3.878,4.147,2,0,nan
5150,5.150,298.2,-124888.414,3.905,4.272,2,0,nan
5200,5.200,306.8,-124888.266,3.900,4.248,2,0,nan
5250,5.250,305.5,-124888.039,4.097,4.492,2,0,nan
5300,5.300,296.7,-124888.102,3.912,4.313,2,0,nan
5350,5.350,286.7,-124888.164,4.084,4.453,2,0,nan
5400,5.400,307.7,-124888.531,4.003,4.410,2,0,nan
5450,5.450,294.3,-124888.422,4.001,4.392,2,0,nan
5500,5.500,282.0,-124888.305,4.034,4.401,2,0,nan
5550,5.550,278.2,-124888.195,3.933,4.367,2,0,nan
5600,5.600,262.7,-124888.000,4.062,4.503,2,0,nan
5650,5.650,281.9,-124888.297,4.098,4.540,2,0,nan
5700,5.700,272.2,-124887.898,4.129,4.660,2,0,nan
5750,5.750,280.0,-124888.023,4.321,4.813,2,0,nan
5800,5.800,315.0,-124888.039,4.383,4.884,2,0,nan
5850,5.850,318.1,-124888.023,4.411,4.882,2,0,nan
5900,5.900,307.2,-124887.680,4.449,4.889,2,0,nan
5950,5.950,323.5,-124888.016,4.317,4.785,2,0,nan
6000,6.000,319.7,-124887.961,4.375,4.812,2,0,nan
6050,6.050,311.3,-124887.984,4.331,4.756,2,0,nan
6100,6.100,296.9,-124887.945,4.366,4.806,2,0,nan
6150,6.150,352.5,-124888.430,4.452,4.827,2,0,nan
6200,6.200,311.2,-124887.844,4.416,4.793,2,0,nan
6250,6.250,314.8,-124887.688,4.502,4.847,2,0,nan
6300,6.300,310.7,-124887.867,4.262,4.584,2,0,nan
6350,6.350,312.1,-124888.062,4.359,4.655,2,0,nan
6400,6.400,315.1,-124887.820,4.282,4.573,2,0,nan
6450,6.450,343.1,-124888.094,4.275,4.547,2,0,nan
6500,6.500,291.3,-124887.211,4.237,4.527,2,0,nan
