window,z0_A,n_rows,last_step_fs,cv_min_A,cv_max_A,cv_last_A,fmax_max_eV_A,fmax_p95_eV_A,n_fmax_gt20,n_fmax_gt40
window_z4.0.dat,4.0,75,1500,3.9501,4.2759,4.0038,5.274,4.548,0,0
window_z4.2.dat,4.2,75,1500,4.0775,4.4455,4.1811,5.031,4.606,0,0
window_z4.4.dat,4.4,65,1300,4.2867,4.7078,4.2978,4.968,4.698,0,0
window_z4.6.dat,4.6,50,1000,4.4803,4.911,4.6227,5.094,4.664,0,0
window_z4.8.dat,4.8,50,1000,4.8335,5.066,4.8477,5.002,4.498,0,0
window_z5.0.dat,5.0,50,1000,2.7808,6.0286,5.0869,4.574,4.449,0,0
window_z5.2.dat,5.2,50,1000,3.0839,5.9648,5.1614,5.659,5.065,0,0
window_z5.4.dat,5.4,50,1000,3.1597,5.8845,5.348,5.152,5.095,0,0
window_z5.6.dat,5.6,50,1000,3.1751,6.401,5.5961,4.893,4.793,0,0
window_z5.8.dat,5.8,50,1000,3.3591,6.6938,5.6535,5.179,4.985,0,0
window_z6.0.dat,6.0,50,1000,3.3853,6.82,5.6724,4.786,4.57,0,0
window_z6.2.dat,6.2,50,1000,3.3177,7.5607,6.2818,4.604,4.574,0,0
window_z6.4.dat,6.4,50,1000,3.6382,7.8412,6.5045,5.649,5.14,0,0
window_z6.6.dat,6.6,50,1000,3.6062,7.7646,6.838,5.793,5.007,0,0
window_z6.8.dat,6.8,50,1000,3.8382,7.5454,6.8877,5.516,5.134,0,0
window_z7.0.dat,7.0,50,1000,3.7123,7.9909,7.2413,30.917,9.334,1,0
window_z7.2.dat,7.2,50,1000,3.7963,8.7741,7.131,5.492,5.133,0,0
window_z7.4.dat,7.4,50,1000,3.9034,9.2183,7.2578,4.765,4.459,0,0
window_z7.6.dat,7.6,50,1000,4.2396,8.8331,7.6019,5.232,5.021,0,0
window_z7.8.dat,7.8,50,1000,4.1731,9.3671,7.6302,5.174,4.734,0,0
window_z8.0.dat,8.0,50,1000,4.349,9.3854,7.8272,6.454,5.534,0,0
window_z8.2.dat,8.2,50,1000,4.4159,9.9755,8.2394,6.211,5.828,0,0
window_z8.4.dat,8.4,50,1000,4.5537,10.3974,8.5402,5.918,4.804,0,0
window_z8.6.dat,8.6,50,1000,4.6478,10.7645,8.9305,5.183,4.78,0,0
window_z8.8.dat,8.8,50,1000,4.9555,9.879,8.8602,5.761,5.6,0,0
window_z9.0.dat,9.0,50,1000,4.9551,10.5131,8.9309,5.444,5.176,0,0
window_z9.2.dat,9.2,50,1000,4.9003,11.2431,9.1262,6.61,5.431,0,0
window_z9.4.dat,9.4,50,1000,5.1489,11.6129,9.4036,5.238,4.743,0,0
