cand_id,family,cured_phase,gap_eV,chi_eV,CBM_vac_eV,Phi_inj_eV,verdict,source
B001,silsesquioxane,SiO2,8.46,0.9,-0.9,3.07,STRONG (Phi_inj>2.5),T8b(reuse)
B002,silsesquioxane,SiO2,8.46,0.9,-0.9,3.07,STRONG (Phi_inj>2.5),T8b(reuse)
B003,silsesquioxane,SiO2,8.46,0.9,-0.9,3.07,STRONG (Phi_inj>2.5),T8b(reuse)
B004,silsesquioxane,SiO2,8.46,0.9,-0.9,3.07,STRONG (Phi_inj>2.5),T8b(reuse)
B005,silsesquioxane,SiO2,8.46,0.9,-0.9,3.07,STRONG (Phi_inj>2.5),T8b(reuse)
B006,silsesquioxane,SiO2,8.46,0.9,-0.9,3.07,STRONG (Phi_inj>2.5),T8b(reuse)
B007,silsesquioxane,SiO2,8.46,0.9,-0.9,3.07,STRONG (Phi_inj>2.5),T8b(reuse)
B008,silsesquioxane,SiO2,8.46,0.9,-0.9,3.07,STRONG (Phi_inj>2.5),T8b(reuse)
B009,borosiloxane,borosilicate (B2O3.SiO2),TODO,TODO,TODO,TODO,build+run,build
B010,borosiloxane,borosilicate (B2O3.SiO2),TODO,TODO,TODO,TODO,build+run,build
B011,borosiloxane,borosilicate (B2O3.SiO2),TODO,TODO,TODO,TODO,build+run,build
B012,phosphazene,phosphorus oxynitride (PON/P3N5),TODO,TODO,TODO,TODO,build+run,build
B013,phosphazene,phosphorus oxynitride (PON/P3N5),TODO,TODO,TODO,TODO,build+run,build
B014,phosphazene,phosphorus oxynitride (PON/P3N5),TODO,TODO,TODO,TODO,build+run,build
B015,phosphazene,phosphorus oxynitride (PON/P3N5),TODO,TODO,TODO,TODO,build+run,build
B016,polyether-siloxane,SiO2 + ether,TODO,TODO,TODO,TODO,build+run,build
B017,polyether-siloxane,SiO2 + ether,TODO,TODO,TODO,TODO,build+run,build
B018,polyether-siloxane,SiO2 + ether,TODO,TODO,TODO,TODO,build+run,build
B019,carbosilane,SiOC/SiC,TODO,TODO,TODO,TODO,build+run,build
B020,carbosilane,SiOC/SiC,TODO,TODO,TODO,TODO,build+run,build
B021,carbosilane,SiOC/SiC,TODO,TODO,TODO,TODO,build+run,build
B022,titanosiloxane,TiO2.SiO2,TODO,TODO,TODO,TODO,build+run,build
B023,titanosiloxane,TiO2.SiO2,TODO,TODO,TODO,TODO,build+run,build
B024,zirconosiloxane,ZrO2.SiO2,TODO,TODO,TODO,TODO,build+run,build
B025,zirconosiloxane,ZrO2.SiO2,TODO,TODO,TODO,TODO,build+run,build
B026,phosphosilicate,P2O5.SiO2,TODO,TODO,TODO,TODO,build+run,build
B027,phosphosilicate,P2O5.SiO2,TODO,TODO,TODO,TODO,build+run,build
B028,germania network,GeO2,TODO,TODO,TODO,TODO,build+run,build
B029,aluminosiloxane / alumoxane,Al2O3.SiO2 / Al2O3,TODO,TODO,TODO,TODO,build+run,build
B030,aluminosiloxane / alumoxane,Al2O3.SiO2 / Al2O3,TODO,TODO,TODO,TODO,build+run,build
B031,aluminosiloxane / alumoxane,Al2O3.SiO2 / Al2O3,TODO,TODO,TODO,TODO,build+run,build
