# C(z) = probability density (integral=1) of ion centroid vs perpendicular distance z from Mg(0001) front.
# Single ion pair per cell -> equilibrium single-ion occupation (PMF limit). NO bulk plateau in this
# nanoscale interface film, so normalized to unit integral (not C/C_bulk). err = block std (NBLOCK=5).
z_angstrom,rho_anion_bare,rho_anion_bare_err,rho_cation_bare,rho_cation_bare_err,rho_anion_poly,rho_anion_poly_err,rho_cation_poly,rho_cation_poly_err
0.25,0,0,0,0,0,0,0,0
0.75,0,0,0,0,0,0,0,0
1.25,0,0,0.022117,0.005652,0,0,0.0017857,0.0035714
1.75,0,0,1.2853,0.10814,0,0,0.044643,0.089286
2.25,0,0,0.68499,0.10601,0,0,0.45179,0.38876
2.75,0,0,0.0075829,0.0058601,0,0,0.79264,0.33359
3.25,0,0,0,0,0,0,0.52063,0.31074
3.75,0,0,0,0,0.039286,0.078571,0.17251,0.30961
4.25,0,0,0,0,0.25357,0.38402,0.016,0.032
4.75,0.054976,0.031885,0,0,0.30893,0.34753,0,0
5.25,1.2777,0.11004,0,0,0.34643,0.28095,0,0
5.75,0.66035,0.13114,0,0,0.39998,0.35606,0,0
6.25,0.006951,0.0050553,0,0,0.20868,0.14785,0,0
6.75,0,0,0,0,0.22961,0.32459,0,0
7.25,0,0,0,0,0.18329,0.27893,0,0
7.75,0,0,0,0,0.030222,0.060444,0,0
8.25,0,0,0,0,0,0,0,0
8.75,0,0,0,0,0,0,0,0
9.25,0,0,0,0,0,0,0,0
9.75,0,0,0,0,0,0,0,0
10.25,0,0,0,0,0,0,0,0
10.75,0,0,0,0,0,0,0,0
11.25,0,0,0,0,0,0,0,0
11.75,0,0,0,0,0,0,0,0
12.25,0,0,0,0,0,0,0,0
12.75,0,0,0,0,0,0,0,0
13.25,0,0,0,0,0,0,0,0
13.75,0,0,0,0,0,0,0,0
