system,window,layer_nm,metric,metric_label,faceA_density_nm2,faceB_cathode_density_nm2,B_over_A,nframes
bare_t21,50-200ns,0.6,all_atoms,all ANI atoms / nm2,1.2320109605789185,1.9060214757919312,1.5470815900016808,3002
bare_t21,50-200ns,0.6,al_center,Al centers / nm2,0.0,6.198766186571447e-06,nan,3002
bare_t21,50-200ns,0.6,reactive_atoms,Al+Cl atoms / nm2,0.0006384729058481753,6.198766641318798e-05,0.09708738749194197,3002
bare_t21,50-200ns,0.6,mol_any_atom,ANI molecules with any atom in layer / nm2,0.2402207851409912,0.2977515459060669,1.239491186124088,3002
bare_t21,50-200ns,0.6,mol_reactive_atom,ANI molecules with Al/Cl in layer / nm2,0.0006384729058481753,6.198766641318798e-05,0.09708738749194197,3002
bare_t21,50-200ns,1.0,all_atoms,all ANI atoms / nm2,4.318283557891846,5.641205787658691,1.3063537194886494,3002
bare_t21,50-200ns,1.0,al_center,Al centers / nm2,0.22428376972675323,0.3013220429420471,1.3434857248438006,3002
bare_t21,50-200ns,1.0,reactive_atoms,Al+Cl atoms / nm2,0.5545540452003479,0.9251596927642822,1.6682949133119078,3002
bare_t21,50-200ns,1.0,mol_any_atom,ANI molecules with any atom in layer / nm2,0.3069257140159607,0.38159605860710144,1.2432847467034247,3002
bare_t21,50-200ns,1.0,mol_reactive_atom,ANI molecules with Al/Cl in layer / nm2,0.24882468581199646,0.3431946933269501,1.3792630430015147,3002
bare_t21,50-200ns,1.5,all_atoms,all ANI atoms / nm2,7.996730804443359,9.92037582397461,1.2405539296711579,3002
bare_t21,50-200ns,1.5,al_center,Al centers / nm2,0.3129447102546692,0.39036110043525696,1.2473804082439597,3002
bare_t21,50-200ns,1.5,reactive_atoms,Al+Cl atoms / nm2,0.9344082474708557,1.1782119274139404,1.26091773119831,3002
bare_t21,50-200ns,1.5,mol_any_atom,ANI molecules with any atom in layer / nm2,0.38007116317749023,0.476294606924057,1.2531721768684438,3002
bare_t21,50-200ns,1.5,mol_reactive_atom,ANI molecules with Al/Cl in layer / nm2,0.32197633385658264,0.40507078170776367,1.2580762593818267,3002
bare_t21,130-200ns,0.6,all_atoms,all ANI atoms / nm2,1.180922269821167,1.995723009109497,1.689969831301191,1402
bare_t21,130-200ns,0.6,al_center,Al centers / nm2,0.0,1.3272964679345023e-05,nan,1402
bare_t21,130-200ns,0.6,reactive_atoms,Al+Cl atoms / nm2,0.00045128079364076257,2.6545929358690046e-05,0.058823530123069366,1402
bare_t21,130-200ns,0.6,mol_any_atom,ANI molecules with any atom in layer / nm2,0.22768443822860718,0.30716294050216675,1.349073054319852,1402
