system,t0_ns,nframes,area_nm2,faceA_ref_nm,faceB_ref_nm,layer_nm,all_atoms_A_density_nm2,all_atoms_B_density_nm2,al_center_A_density_nm2,al_center_B_density_nm2,reactive_atoms_A_density_nm2,reactive_atoms_B_density_nm2,mol_any_atom_A_density_nm2,mol_any_atom_B_density_nm2,mol_reactive_atom_A_density_nm2,mol_reactive_atom_B_density_nm2
bare_t21,50.0,3002,53.738316,9.604,17.349,0.6,1.232011,1.9060215,0.0,6.198766e-06,0.0006384729,6.198767e-05,0.24022079,0.29775155,0.0006384729,6.198767e-05
bare_t21,50.0,3002,53.738316,9.604,17.349,1.0,4.3182836,5.641206,0.22428377,0.30132204,0.55455405,0.9251597,0.3069257,0.38159606,0.24882469,0.3431947
bare_t21,50.0,3002,53.738316,9.604,17.349,1.5,7.996731,9.920376,0.3129447,0.3903611,0.93440825,1.1782119,0.38007116,0.4762946,0.32197633,0.40507078
bare_t21,130.0,1402,53.738316,9.604,17.349,0.6,1.1809223,1.995723,0.0,1.3272965e-05,0.0004512808,2.654593e-05,0.22768444,0.30716294,0.0004512808,2.654593e-05
bare_t21,130.0,1402,53.738316,9.604,17.349,1.0,4.1796036,5.860651,0.21068177,0.30995026,0.5137832,0.9587726,0.29925227,0.39293286,0.23665696,0.35764003
bare_t21,130.0,1402,53.738316,9.604,17.349,1.5,7.8445477,10.239628,0.30563655,0.4025823,0.9125429,1.2201704,0.37845203,0.49334282,0.31594965,0.4189877
poly_t21,50.0,3002,53.662807,9.619,17.546,0.6,2.621441,0.5743789,0.0020484712,0.0,0.0091063855,0.0,0.29507297,0.21497153,0.00649924,0.0
poly_t21,50.0,3002,53.662807,9.619,17.546,1.0,6.124637,3.2910428,0.3143534,0.090896256,0.9486905,0.22053345,0.34079733,0.27129206,0.32874858,0.12588166
poly_t21,50.0,3002,53.662807,9.619,17.546,1.5,8.9039345,7.2230334,0.34868705,0.2869784,1.0525727,0.8548022,0.40348053,0.35682505,0.3586625,0.29333487
poly_t21,130.0,1402,53.662807,9.619,17.546,0.6,2.554507,0.537514,0.0022994538,0.0,0.010367479,0.0,0.29233634,0.20285702,0.0076426934,0.0
poly_t21,130.0,1402,53.662807,9.619,17.546,1.0,6.0915723,3.115494,0.31563658,0.0895059,0.95504427,0.22061464,0.3450244,0.2585623,0.33292902,0.123532504
poly_t21,130.0,1402,53.662807,9.619,17.546,1.5,8.9628725,6.871114,0.35430196,0.27176088,1.0735525,0.80652344,0.40667105,0.3394685,0.36500174,0.27639967
