d_nm,rho_anionAl_nm-3,rho_catMg_nm-3,enrich_anion,enrich_cation
1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999999999278e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999999667e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000006e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000122e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000022e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000200e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000100e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000355e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.099999999999999978e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000155e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.699999999999999956e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000133e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000311e-01,6.611466943762887697e-05,0.000000000000000000e+00,2.630194634402945736e-04,0.000000000000000000e+00
4.299999999999999933e-01,2.644586777505155079e-04,0.000000000000000000e+00,1.052077853761178294e-03,0.000000000000000000e+00
4.500000000000000111e-01,7.933760332515465237e-04,0.000000000000000000e+00,3.156233561283534883e-03,0.000000000000000000e+00
4.700000000000000289e-01,7.272613638139176738e-04,6.611466943762887697e-05,2.893214097843240309e-03,1.319087191663368861e-04
4.899999999999999911e-01,5.950320249386599741e-04,1.983440083128866309e-04,2.367175170962651596e-03,3.957261574990106313e-04
5.100000000000000089e-01,1.123949380439690990e-03,2.314013430317010938e-03,4.471330878485008618e-03,4.616805170821791475e-03
5.300000000000000266e-01,2.446242769192268421e-03,5.355288224447939116e-03,9.731720147290899223e-03,1.068460625247328807e-02
5.500000000000000444e-01,6.082549588261857224e-03,1.408242459021495120e-02,2.419779063650710424e-02,2.809655718242975650e-02
5.700000000000000622e-01,1.355350723471392127e-02,2.155338223666701525e-02,5.391899000526039626e-02,4.300224244822582753e-02
5.899999999999999689e-01,2.948714256918247983e-02,3.398294009094124379e-02,1.173066806943713902e-01,6.780108165149716093e-02
6.099999999999999867e-01,4.647861261465310173e-02,3.966880166257732987e-02,1.849026827985270904e-01,7.914523149980214056e-02
6.300000000000000044e-01,6.717250414863094876e-02,4.938765806990877416e-02,2.672277748553393284e-01,9.853581321725365938e-02
6.500000000000000222e-01,7.537072315889692398e-02,7.193276034814022335e-02,2.998421883219358208e-01,1.435166864529745512e-01
6.700000000000000400e-01,9.024652378236341921e-02,1.091553192415252865e-01,3.590215675960021224e-01,2.177812953436222276e-01
6.900000000000000577e-01,1.231055144928649703e-01,1.775178874400335505e-01,4.897422409258285203e-01,3.541749109616145752e-01
7.100000000000000755e-01,2.076661767035923034e-01,3.402922035954758506e-01,8.261441346659652574e-01,6.789341775491359865e-01
7.299999999999999822e-01,2.794667077128572541e-01,4.844882976389444096e-01,1.111783271962125230e+00,9.666270940509167353e-01
7.500000000000000000e-01,2.914334628810680838e-01,5.117936561166851472e-01,1.159389794844818411e+00,1.021105395066613797e+00
7.700000000000000178e-01,2.458804556385418005e-01,4.246545217978903164e-01,9.781693845344555660e-01,8.472497032053818433e-01
7.900000000000000355e-01,1.837987810366082941e-01,3.183421333421830313e-01,7.311941083640189909e-01,6.351404827859120639e-01
8.100000000000000533e-01,1.545099824757386886e-01,2.232031240214351064e-01,6.146764860599684965e-01,4.453238359055533557e-01
8.300000000000000711e-01,1.227749411456768303e-01,1.867078264918639596e-01,4.884271436086270457e-01,3.725102229257353792e-01
8.499999999999999778e-01,1.121304793662185745e-01,1.658155909495732383e-01,4.460810099947395968e-01,3.308270676691729140e-01
8.699999999999999956e-01,1.151717541603495126e-01,1.796335568620376633e-01,4.581799053129931854e-01,3.583959899749373235e-01
8.900000000000000133e-01,1.131883140772206447e-01,1.919970000468742555e-01,4.502893214097843377e-01,3.830629204590423331e-01
9.100000000000000311e-01,1.100148099442144617e-01,2.085917820757191288e-01,4.376643871646502260e-01,4.161720089697928948e-01
9.300000000000000488e-01,1.061801591168319847e-01,2.213519132771814835e-01,4.224092582851131095e-01,4.416303917688959024e-01
9.500000000000000666e-01,1.092875485804005453e-01,2.469382903495438708e-01,4.347711730668070151e-01,4.926790660862682691e-01
9.699999999999999734e-01,1.160973595324763102e-01,2.658470858087057520e-01,4.618621778011572920e-01,5.304049597678406336e-01
9.899999999999999911e-01,1.141800341187850787e-01,2.821112944903624298e-01,4.542346133613887615e-01,5.628545046827595488e-01
1.010000000000000009e+00,1.184113729627933181e-01,3.160942345813037013e-01,4.710678590215676143e-01,6.306555863342567791e-01
1.030000000000000027e+00,1.216509917652371375e-01,3.394327128927866477e-01,4.839558127301420432e-01,6.772193641999735281e-01
1.050000000000000044e+00,1.336838616028855897e-01,3.575481323186969762e-01,5.318253550762755966e-01,7.133623532515498411e-01
1.070000000000000062e+00,1.350722696610758000e-01,3.514655827304350999e-01,5.373487638085218121e-01,7.012267510882468358e-01
1.090000000000000080e+00,1.475018275153500424e-01,3.881592242683191696e-01,5.867964229352973238e-01,7.744360902255639223e-01
1.110000000000000098e+00,1.518653956982335407e-01,3.655480073206500702e-01,6.041557075223566997e-01,7.293233082706767068e-01
1.130000000000000115e+00,1.701130444630191141e-01,3.937128565010799552e-01,6.767490794318780090e-01,7.855164226355361157e-01
1.150000000000000133e+00,1.747410713236531299e-01,3.758618957529201721e-01,6.951604418726986534e-01,7.499010684606252086e-01
1.169999999999999929e+00,1.757327913652175500e-01,3.712338688922861563e-01,6.991057338243029662e-01,7.406674581189816031e-01
1.189999999999999947e+00,1.841954690532340566e-01,3.935806271622047103e-01,7.327722251446606716e-01,7.852526051972035237e-01
1.209999999999999964e+00,1.973522882713222015e-01,3.987375713783397613e-01,7.851130983692793386e-01,7.955414852921777191e-01
1.229999999999999982e+00,2.046249019094613930e-01,4.164563027876242995e-01,8.140452393477117798e-01,8.308930220287560342e-01
1.250000000000000000e+00,1.989390403378253069e-01,4.084564277856712056e-01,7.914255654918465055e-01,8.149320670096292796e-01
1.270000000000000018e+00,1.971539442630093064e-01,3.982086540228387261e-01,7.843240399789583872e-01,7.944862155388470182e-01
1.290000000000000036e+00,2.029720351735206652e-01,4.066052170414176103e-01,8.074697527617044068e-01,8.112386228729718818e-01
1.310000000000000053e+00,2.062777686454020931e-01,4.090514598106098632e-01,8.206207259337190418e-01,8.161192454821263320e-01
1.330000000000000071e+00,2.088562407534696186e-01,4.075969370829820582e-01,8.308784850078905215e-01,8.132172536604669322e-01
1.350000000000000089e+00,1.922614587246247730e-01,4.148695507211212496e-01,7.648605996843765853e-01,8.277272127687640424e-01
1.370000000000000107e+00,2.042282138928356028e-01,4.097787211744238212e-01,8.124671225670699881e-01,8.175702413929560874e-01
1.390000000000000124e+00,2.022447738097067349e-01,4.066713317108552328e-01,8.045765386638611405e-01,8.113705315921382333e-01
1.410000000000000142e+00,2.039637552150850852e-01,4.064729877025423654e-01,8.114150447133088306e-01,8.109748054346391788e-01
1.429999999999999938e+00,2.025092324874572525e-01,4.067374463802928553e-01,8.056286165176222980e-01,8.115024403113044738e-01
1.449999999999999956e+00,2.086578967451567512e-01,4.030350248917856648e-01,8.300894266175697922e-01,8.041155520379896782e-01
1.469999999999999973e+00,1.945093574855041585e-01,4.065391023719799879e-01,7.738032614413467014e-01,8.111067141538055303e-01
1.489999999999999991e+00,2.069389153397784009e-01,4.196959215900681328e-01,8.232509205681221021e-01,8.373565492679065914e-01
1.510000000000000009e+00,2.148065610028562222e-01,4.282908286169598844e-01,8.545502367175170644e-01,8.545046827595303984e-01
1.530000000000000027e+00,2.067405713314655058e-01,4.204892976233196578e-01,8.224618621778011507e-01,8.389394538979025873e-01
1.550000000000000044e+00,2.097818461255964440e-01,4.142084040267449141e-01,8.345607574960547392e-01,8.264081255771005274e-01
1.570000000000000062e+00,2.040959845539603579e-01,4.124233079519289413e-01,8.119410836401894649e-01,8.228465901596094811e-01
1.590000000000000080e+00,2.206907665828052034e-01,4.350345248995980407e-01,8.779589689637034011e-01,8.679593721144968077e-01
1.610000000000000098e+00,2.182445238136129229e-01,4.438938906042402821e-01,8.682272488164124447e-01,8.856351404827857987e-01
1.630000000000000115e+00,2.245915320796253167e-01,4.546705817225737967e-01,8.934771173066807792e-01,9.071362617068987610e-01
1.650000000000000133e+00,2.280294948903820174e-01,4.409187304795469942e-01,9.071541294055760485e-01,8.796992481203007586e-01
1.670000000000000151e+00,2.372194339422124265e-01,4.475301974233099056e-01,9.437138348237770202e-01,8.928901200369344648e-01
1.689999999999999947e+00,2.317980310483268580e-01,4.529516003171954464e-01,9.221462388216729034e-01,9.037066350085740662e-01
1.709999999999999964e+00,2.394673327030918120e-01,4.468690507289336256e-01,9.526564965807470253e-01,8.915710328452710609e-01
1.729999999999999982e+00,2.312029990233882004e-01,4.514970775895676414e-01,9.197790636507102713e-01,9.008046431869146664e-01
1.750000000000000000e+00,2.470044050189814933e-01,4.710009050736681524e-01,9.826407154129406241e-01,9.397177153409840278e-01
1.770000000000000018e+00,2.275005775348809822e-01,4.421087945294243093e-01,9.050499736980537335e-01,8.820736050652947524e-01
1.790000000000000036e+00,2.254510227823144919e-01,4.487202614731872208e-01,8.968963703314045688e-01,8.952644769819284587e-01
1.810000000000000053e+00,2.179800651358624053e-01,4.359601302717248106e-01,8.671751709626511762e-01,8.698060941828253956e-01
1.830000000000000071e+00,2.204263079050546859e-01,4.288858606418985420e-01,8.769068911099421326e-01,8.556918612320274509e-01
1.850000000000000089e+00,2.229386653436845889e-01,4.315965620888413401e-01,8.869016307206734062e-01,8.611001187178471961e-01
1.870000000000000107e+00,2.091206994312201362e-01,4.398608957685449239e-01,8.319305628616517900e-01,8.775887086136393567e-01
1.890000000000000124e+00,2.063438833148397433e-01,4.374146529993526711e-01,8.208837453971594700e-01,8.727080860044849064e-01
1.910000000000000142e+00,2.128892355891650046e-01,4.435633172570521698e-01,8.469226722777486449e-01,8.849755968869542633e-01
1.929999999999999938e+00,2.110380248449113816e-01,4.393980930824815112e-01,8.395581273014203205e-01,8.766653475794748962e-01
1.949999999999999956e+00,2.163271983999217052e-01,4.290180899807737869e-01,8.605996843766439142e-01,8.559556786703600428e-01
1.969999999999999973e+00,2.131536942669155221e-01,4.544722377142609293e-01,8.479747501315098024e-01,9.067405355493998176e-01
1.989999999999999991e+00,2.219469453021201411e-01,4.446872666374918626e-01,8.829563387690688714e-01,8.872180451127819056e-01
2.009999999999999787e+00,2.193684731940526156e-01,4.682240889572877318e-01,8.726985796948973917e-01,9.341775491359978201e-01
2.029999999999999805e+00,2.236659267074984914e-01,4.570507098223284270e-01,8.897948448185165615e-01,9.118849755968868598e-01
2.049999999999999822e+00,2.214180279466191059e-01,4.434310879181769249e-01,8.808521830615465564e-01,8.847117794486215603e-01
2.069999999999999840e+00,2.317980310483268580e-01,4.608853606497109179e-01,9.221462388216729034e-01,9.195356813085344694e-01
2.089999999999999858e+00,2.350376498507706635e-01,4.730504598262346150e-01,9.350341925302472212e-01,9.438068856351403690e-01
2.109999999999999876e+00,2.302773936512614028e-01,4.663067635435965141e-01,9.160967911625461646e-01,9.303521962801741818e-01
2.129999999999999893e+00,2.353682231979588035e-01,4.775462573479933859e-01,9.363492898474486958e-01,9.527766785384513826e-01
2.149999999999999911e+00,2.401284793974680920e-01,4.758933906120526580e-01,9.552866912151499745e-01,9.494789605592929282e-01
2.169999999999999929e+00,2.445581622497892404e-01,4.694802676766026694e-01,9.729089952656497786e-01,9.366838148001582764e-01
2.189999999999999947e+00,2.376822366282758114e-01,4.665712222213470040e-01,9.455549710678590181e-01,9.308798311568394768e-01
2.209999999999999964e+00,2.458804556385418005e-01,4.757611612731774131e-01,9.781693845344555660e-01,9.492151431209602253e-01
2.229999999999999982e+00,2.387400713392778817e-01,4.743727532149872306e-01,9.497632824829037590e-01,9.464450600184671769e-01
2.250000000000000000e+00,2.457482262996665556e-01,4.739099505289238179e-01,9.776433456075750428e-01,9.455216989843028275e-01
2.270000000000000018e+00,2.431697541915990302e-01,4.653811581714696888e-01,9.673855865334035631e-01,9.285054742118453719e-01
2.290000000000000036e+00,2.343103884869567610e-01,4.611498193274614632e-01,9.321409784324040659e-01,9.200633161851998754e-01
2.310000000000000053e+00,2.495828771270490187e-01,4.701414143709789495e-01,9.928984744871121038e-01,9.380029019918215694e-01
2.329999999999999627e+00,2.439631302248505551e-01,4.743727532149872306e-01,9.705418200946870355e-01,9.464450600184671769e-01
2.349999999999999645e+00,2.513018585324273690e-01,4.912981085910201884e-01,9.997369805365596829e-01,9.802136921250493851e-01
2.369999999999999662e+00,2.534836426238691320e-01,4.865378523915109277e-01,1.008416622830089482e+00,9.707162643450731876e-01
2.389999999999999680e+00,2.468060610106685981e-01,4.944716127240263992e-01,9.818516570226196727e-01,9.865453106450335907e-01
2.409999999999999698e+00,2.507068265074887115e-01,4.973145435098444422e-01,9.973698053655970508e-01,9.922173855691861499e-01
2.429999999999999716e+00,2.516985465490531593e-01,5.064383678922371734e-01,1.001315097317201586e+00,1.010420788814140547e+00
2.449999999999999734e+00,2.528224959294928520e-01,5.038598957841696757e-01,1.005786428195686533e+00,1.005276348766653394e+00
2.469999999999999751e+00,2.501117944825500539e-01,5.230331499210820745e-01,9.950026301946344187e-01,1.043529877324891109e+00
2.489999999999999769e+00,2.544753626654335799e-01,5.133142935137505747e-01,1.012361914781694017e+00,1.024139295607439548e+00
2.509999999999999787e+00,2.646570217588283813e-01,5.397601612888022204e-01,1.052866912151499079e+00,1.076902783273974373e+00
2.529999999999999805e+00,2.536819866321819994e-01,4.995624422707238277e-01,1.009205681220410211e+00,9.967022820208415457e-01
2.549999999999999822e+00,2.559298853930613848e-01,5.174795176883212333e-01,1.018148342977380327e+00,1.032449544914918915e+00
2.569999999999999840e+00,2.520952345656788940e-01,5.197935311186382412e-01,1.002893214097843266e+00,1.037066350085740662e+00
2.589999999999999858e+00,2.561943440708119302e-01,5.189340404159490383e-01,1.019200420831141596e+00,1.035351536736578204e+00
2.609999999999999876e+00,2.590372748566299732e-01,5.108680507445583219e-01,1.030510257759074344e+00,1.019258672998285098e+00
2.629999999999999893e+00,2.540125599793701672e-01,5.111325094223089227e-01,1.010520778537611797e+00,1.019786307874950504e+00
2.649999999999999911e+00,2.563926880791247975e-01,5.157605362829429385e-01,1.019989479221462325e+00,1.029019918216594220e+00
2.669999999999999929e+00,2.556654267153108950e-01,5.108680507445583219e-01,1.017096265123619281e+00,1.019258672998285098e+00
2.689999999999999947e+00,2.545414773348712023e-01,5.054466478506728366e-01,1.012624934245134334e+00,1.008442158026645608e+00
2.709999999999999964e+00,2.534836426238691320e-01,5.059755652061738163e-01,1.008416622830089482e+00,1.009497427779976197e+00
2.729999999999999982e+00,2.487895010937974660e-01,5.027359464037299830e-01,9.897422409258285203e-01,1.003033900540825751e+00
2.750000000000000000e+00,2.604917975842577782e-01,5.197935311186382412e-01,1.036296685954760655e+00,1.037066350085740662e+00
2.770000000000000018e+00,2.584422428316913156e-01,5.034632077675439410e-01,1.028143082588111712e+00,1.004484896451655507e+00
2.790000000000000036e+00,2.310046550150753053e-01,4.860750497054475150e-01,9.189900052603893199e-01,9.697929033109088381e-01
2.810000000000000053e+00,2.337814711314557259e-01,5.001574742956624853e-01,9.300368227248817510e-01,9.978894604933385981e-01
2.829999999999999627e+00,2.395995620419670569e-01,4.930832046658361612e-01,9.531825355076275486e-01,9.837752275425404314e-01
2.849999999999999645e+00,2.449548502664150029e-01,4.987029515680346248e-01,9.744871120462914593e-01,9.949874686716790873e-01
2.869999999999999662e+00,2.320624897260773756e-01,4.732488038345475378e-01,9.231983166754340608e-01,9.442026117926395345e-01
2.889999999999999680e+00,2.390706446864660217e-01,4.840254949528810524e-01,9.510783798001052336e-01,9.657037330167523859e-01
2.909999999999999698e+00,2.335831271231428308e-01,5.009508503289140657e-01,9.292477643345607996e-01,9.994723651233347050e-01
2.929999999999999716e+00,2.505745971686134665e-01,4.979095755347830998e-01,9.968437664387165276e-01,9.934045640416830913e-01
2.949999999999999734e+00,2.349054205118954186e-01,4.605547873025228056e-01,9.345081536033666980e-01,9.188761377127028229e-01
2.969999999999999751e+00,2.420458048111593374e-01,4.780751747034944210e-01,9.629142556549185050e-01,9.538319482917820835e-01
2.989999999999999769e+00,2.325252924121407605e-01,4.779429453646191761e-01,9.250394529195160587e-01,9.535681308534493805e-01
3.009999999999999787e+00,2.374177779505253216e-01,4.788685507367460015e-01,9.445028932140979716e-01,9.554148529217781904e-01
3.029999999999999805e+00,2.477316663827954235e-01,5.001574742956624853e-01,9.855339295107838904e-01,9.978894604933385981e-01
3.049999999999999822e+00,2.548720506820593146e-01,4.877940311108258653e-01,1.013940031562335475e+00,9.732225300092335329e-01
3.069999999999999840e+00,2.524258079128670618e-01,4.983723782208465125e-01,1.004208311415044852e+00,9.943279250758475518e-01
3.089999999999999858e+00,2.510373998546768792e-01,4.877279164413882429e-01,9.986849026827986364e-01,9.730906212900671814e-01
3.109999999999999876e+00,2.510373998546768792e-01,4.951988740878403017e-01,9.986849026827986364e-01,9.879963065558633462e-01
3.129999999999999893e+00,2.554670827069979722e-01,5.224381178961433614e-01,1.016307206733298329e+00,1.042342698852394056e+00
3.149999999999999911e+00,2.394673327030918120e-01,4.861411643748851374e-01,9.526564965807470253e-01,9.699248120300750786e-01
3.169999999999999929e+00,2.587728161788794279e-01,5.063722532227995510e-01,1.029458179905313076e+00,1.010288880094974084e+00
3.189999999999999947e+00,2.583100134928160152e-01,5.089507253308671597e-01,1.027617043661230856e+00,1.015433320142461460e+00
3.209999999999999964e+00,2.466738316717933532e-01,5.219753152100800042e-01,9.813256180957391495e-01,1.041419337818229707e+00
3.229999999999999982e+00,2.520291198962412715e-01,5.247521313264603693e-01,1.002630194634402949e+00,1.046959504023215803e+00
3.250000000000000000e+00,2.546075920043088248e-01,5.297768462037202308e-01,1.012887953708574429e+00,1.056984566679857629e+00
3.270000000000000018e+00,2.552026240292474824e-01,5.385039825694872828e-01,1.015255128879537061e+00,1.074396517609814028e+00
3.290000000000000036e+00,2.395995620419670569e-01,5.203885631435769543e-01,9.531825355076275486e-01,1.038253528558237715e+00
3.310000000000000053e+00,2.460126849774170732e-01,5.251488193430862150e-01,9.786954234613362003e-01,1.047750956338213912e+00
3.330000000000000071e+00,2.434342128693495477e-01,5.331486943450393090e-01,9.684376643871647206e-01,1.063711911357340778e+00
3.349999999999999645e+00,2.474672077050449059e-01,5.314958276090985256e-01,9.844818516570227329e-01,1.060414193378182102e+00
3.369999999999999662e+00,2.400623647280304696e-01,5.053805331812352142e-01,9.550236717517096574e-01,1.008310249307479367e+00
3.389999999999999680e+00,2.440953595637258278e-01,5.119258854555603921e-01,9.710678590215676698e-01,1.021369212504946500e+00
3.409999999999999698e+00,2.514340878713026139e-01,5.180745497132599464e-01,1.000263019463440317e+00,1.033636723387415968e+00
3.429999999999999716e+00,2.546737066737464472e-01,5.433303534384341660e-01,1.013150973172014746e+00,1.084025854108956688e+00
3.449999999999999734e+00,2.511696291935521241e-01,5.015458823538526678e-01,9.992109416096791596e-01,1.000659543595831646e+00
3.469999999999999751e+00,2.530869546072433418e-01,5.213802831851414021e-01,1.006838506049447579e+00,1.040232159345732876e+00
3.489999999999999769e+00,2.518968905573660266e-01,5.252810486819614599e-01,1.002104155707522315e+00,1.048014773776546615e+00
3.509999999999999787e+00,2.615496322952598485e-01,5.214463978545790246e-01,1.040504997369805507e+00,1.040364068064899117e+00
3.529999999999999805e+00,2.587728161788794279e-01,5.276611767817160903e-01,1.029458179905313076e+00,1.052763487666534825e+00
3.549999999999999822e+00,2.626735816756995412e-01,5.157605362829429385e-01,1.044976328248290454e+00,1.029019918216594220e+00
3.569999999999999840e+00,2.622107789896361285e-01,5.167522563245072753e-01,1.043135192004208234e+00,1.030998549004088938e+00
3.589999999999999858e+00,2.639297603950144788e-01,5.084218079753660691e-01,1.049973698053656035e+00,1.014378050389130648e+00
3.609999999999999876e+00,2.666404618419572770e-01,5.047193864868588786e-01,1.060757496054708149e+00,1.006991162115815852e+00
