z_nm,rho_anionAl,rho_catMg
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000001110e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,3.569795403312044958e-03,0.000000000000000000e+00
9.500000000000000666e-01,1.452192770067339822e-01,0.000000000000000000e+00
1.050000000000000044e+00,1.387936452807723153e-01,1.323204162827664766e-02
1.150000000000000133e+00,2.273721685549551785e-01,8.486593605473835566e-02
1.250000000000000222e+00,4.902519020548541939e-01,5.537466629617644465e-01
1.350000000000000089e+00,4.235681239209851956e-01,3.903452280341611069e-01
1.450000000000000178e+00,3.139992036753274651e-01,3.772559782220168967e-01
1.550000000000000044e+00,2.241355540559522574e-01,5.570308747328115428e-01
1.650000000000000133e+00,2.040495052533164988e-01,6.190977174783969250e-01
1.750000000000000222e+00,2.435552410499697840e-01,6.457045925510827011e-01
1.850000000000000089e+00,2.542170299878617756e-01,5.973457641542155860e-01
1.950000000000000178e+00,2.288952812603683162e-01,4.930601411054596483e-01
2.049999999999999822e+00,2.525511254663161398e-01,4.820175739912144208e-01
2.149999999999999911e+00,3.189017226958760221e-01,5.260926479041071469e-01
2.250000000000000000e+00,3.360843379038179757e-01,5.713100563460596915e-01
2.350000000000000089e+00,2.719232151882894910e-01,5.462738912508312561e-01
2.450000000000000178e+00,2.520751527458745533e-01,5.549365947628683848e-01
2.549999999999999822e+00,2.677346552484033970e-01,5.659315646050695481e-01
2.649999999999999911e+00,2.676394607043150464e-01,5.418949422227684609e-01
2.750000000000000000e+00,2.432220601456606679e-01,4.953448101635793410e-01
2.850000000000000089e+00,2.388907083896420480e-01,4.967251310528600361e-01
2.950000000000000178e+00,2.371296093240081171e-01,5.249027161030030975e-01
3.049999999999999822e+00,2.443167974026763667e-01,5.211901288835585344e-01
3.149999999999999911e+00,2.734939251657468318e-01,5.136697599005811687e-01
3.250000000000000000e+00,2.676394607043150464e-01,5.016752473454527683e-01
3.350000000000000089e+00,2.609758426181325586e-01,4.956779910678885126e-01
3.450000000000000178e+00,2.507424291286380336e-01,5.051022509326322796e-01
3.549999999999999822e+00,2.512184018490796755e-01,4.980578546700965004e-01
3.649999999999999911e+00,2.547881972523917127e-01,4.982482437582731460e-01
3.750000000000000000e+00,2.522179445620070237e-01,5.028651791465567067e-01
3.850000000000000089e+00,2.324650766636803811e-01,4.765914849781801021e-01
3.950000000000000178e+00,2.245163322323055488e-01,4.566006307196326386e-01
4.049999999999999822e+00,2.109511096997197799e-01,4.418454763859428480e-01
4.150000000000000355e+00,2.078096897448051816e-01,4.223781921198811462e-01
4.250000000000000000e+00,2.109035124276756323e-01,4.202839121499380992e-01
4.349999999999999645e+00,2.145685023750759923e-01,4.153813931293895423e-01
4.450000000000000178e+00,2.143305160148551713e-01,4.266619466038556463e-01
4.549999999999999822e+00,2.138545432944135849e-01,4.419406709300311986e-01
4.650000000000000355e+00,2.195662159397128443e-01,4.517933062431724323e-01
4.750000000000000000e+00,2.352257184422416880e-01,4.363717901008644096e-01
4.850000000000000533e+00,2.420321283445566463e-01,4.395608073278231553e-01
4.950000000000000178e+00,2.223744549903183265e-01,4.498418180893618556e-01
5.049999999999999822e+00,2.170911577934165060e-01,4.373713328137917578e-01
5.150000000000000355e+00,2.068101470318778057e-01,4.293273938383286303e-01
5.250000000000000000e+00,1.971003035348690424e-01,4.336587455943472502e-01
5.350000000000000533e+00,1.933877163154245071e-01,4.052431741839833679e-01
5.450000000000000178e+00,1.880092245744343638e-01,4.029585051258636197e-01
5.549999999999999822e+00,2.047634643339789062e-01,4.046244096474092555e-01
5.650000000000000355e+00,2.160440178084449547e-01,3.872990026233348315e-01
5.750000000000000000e+00,2.136641542062369392e-01,3.827296645070953907e-01
5.850000000000000533e+00,2.066197579437011600e-01,3.674509401809198383e-01
5.950000000000000178e+00,2.024311980038150383e-01,3.659278274755066729e-01
6.049999999999999822e+00,1.980998462477964184e-01,3.711635274003643459e-01
6.150000000000000355e+00,1.882948082066993323e-01,3.571223321473369627e-01
6.250000000000000000e+00,1.828687191936650136e-01,3.286591634649289606e-01
6.350000000000000533e+00,1.687799266685934829e-01,3.377978396974077868e-01
6.450000000000000178e+00,1.593080695318055406e-01,3.638811447776078012e-01
6.549999999999999822e+00,1.527872432617555232e-01,3.932962589008990317e-01
6.650000000000000355e+00,1.482655024175602576e-01,4.063855087130431865e-01
6.750000000000000000e+00,1.693034966610792447e-01,3.587406393968384233e-01
6.850000000000000533e+00,2.196138132117570196e-01,3.213767808421723604e-01
6.950000000000000178e+00,2.551213781567008287e-01,3.238518389884686988e-01
7.049999999999999822e+00,1.852485827958730569e-01,3.169026372700212701e-01
7.150000000000000355e+00,1.351286553333719553e-01,3.231854771798504666e-01
7.250000000000000000e+00,1.401263688980088074e-01,3.520294240386118156e-01
7.350000000000000533e+00,1.639726021921332766e-01,3.878701698878647131e-01
7.450000000000000178e+00,1.049519848573741282e-01,4.181896321799950522e-01
7.549999999999999822e+00,7.011078172104856510e-02,3.874893917115114217e-01
7.650000000000000355e+00,7.877348523308579098e-02,3.996742933548165788e-01
7.750000000000000000e+00,7.448973074911133252e-02,3.250893680616169235e-01
7.850000000000000533e+00,9.257669412589236702e-02,6.012011431897925640e-01
7.950000000000000178e+00,1.275606890783504040e-02,2.806335159723709061e-01
8.050000000000000711e+00,6.663618086182483951e-04,1.456000551830872736e-01
8.150000000000000355e+00,0.000000000000000000e+00,2.855836322649635902e-04
8.250000000000001776e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.350000000000001421e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.450000000000001066e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.550000000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00
