z_nm,rho_anionAl,rho_catMg
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000001110e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.500000000000000666e-01,1.903890881766424025e-04,0.000000000000000000e+00
1.050000000000000044e+00,3.807781763532848158e-03,9.805038041097084364e-03
1.150000000000000133e+00,4.326592028814198881e-02,6.516066542845586063e-02
1.250000000000000222e+00,1.508357551079449466e-01,2.829657823025347740e-01
1.350000000000000089e+00,1.276558836224387372e-01,1.661620767061646464e-01
1.450000000000000178e+00,1.242288800352591704e-01,2.653071943741511785e-01
1.550000000000000044e+00,1.463616115357938563e-01,3.561227894344096145e-01
1.650000000000000133e+00,1.729684866084796324e-01,3.908687980266468687e-01
1.750000000000000222e+00,2.084284542813792662e-01,3.996742933548165788e-01
1.850000000000000089e+00,2.286096976281033755e-01,4.099077068443111038e-01
1.950000000000000178e+00,2.284193085399267298e-01,4.201411203338056288e-01
2.049999999999999822e+00,2.253730831291004544e-01,4.460340363258289975e-01
2.149999999999999911e+00,2.303231994216931311e-01,4.542207671174245953e-01
2.250000000000000000e+00,2.452211455715154198e-01,4.570766034400742250e-01
2.350000000000000089e+00,2.401282374627902172e-01,4.365621791890409997e-01
2.450000000000000178e+00,2.148540860073409609e-01,4.404175582246180332e-01
2.549999999999999822e+00,2.208513422849051888e-01,4.712129932371899588e-01
2.649999999999999911e+00,2.443643946747205142e-01,4.943452674506519928e-01
2.750000000000000000e+00,2.658783616386811155e-01,4.851113966740848160e-01
2.850000000000000089e+00,2.837273386552413568e-01,5.157164425984801515e-01
2.950000000000000178e+00,2.952458784899282263e-01,5.807819134828476892e-01
3.049999999999999822e+00,3.005291756868300190e-01,6.258089328366235327e-01
3.149999999999999911e+00,3.022426774804198302e-01,6.491315961382622124e-01
3.250000000000000000e+00,3.038609847299212907e-01,6.534629478942808323e-01
3.350000000000000089e+00,2.932467930640734743e-01,6.228103046978414881e-01
3.450000000000000178e+00,2.798243623476201480e-01,6.015819213661458553e-01
3.549999999999999822e+00,2.801099459798851443e-01,5.933475933025060822e-01
3.649999999999999911e+00,2.868687586101559273e-01,5.826858043646140350e-01
3.750000000000000000e+00,2.773969014733679850e-01,5.792112035053903485e-01
3.850000000000000089e+00,2.704476997549205564e-01,5.603626837759027035e-01
3.950000000000000178e+00,2.752074269593365874e-01,5.696917490965581754e-01
4.049999999999999822e+00,2.778728741938095714e-01,5.601246974156819380e-01
4.150000000000000355e+00,2.683534197849774539e-01,5.309475696526114730e-01
4.250000000000000000e+00,2.628321362278548401e-01,4.915846256720906582e-01
4.349999999999999645e+00,2.611186344342650290e-01,4.983434383023614966e-01
4.450000000000000178e+00,2.568824772223347597e-01,5.395626758926045374e-01
4.549999999999999822e+00,2.429364765133956994e-01,5.220944770523976430e-01
4.650000000000000355e+00,2.421749201606891444e-01,5.166683880393633244e-01
4.750000000000000000e+00,2.747314542388950009e-01,5.546510111306034441e-01
4.850000000000000533e+00,2.943415303210891731e-01,5.482729766766859525e-01
4.950000000000000178e+00,2.731607442614376602e-01,5.160972207748334428e-01
5.049999999999999822e+00,2.589291599202336869e-01,5.204285725308519517e-01
5.150000000000000355e+00,2.467918555489727050e-01,5.044358891240140474e-01
5.250000000000000000e+00,2.321318957593712373e-01,4.999141482798187819e-01
5.350000000000000533e+00,2.400806401907460697e-01,5.029603736906450573e-01
5.450000000000000178e+00,2.404138210950551857e-01,4.692139078113352069e-01
5.549999999999999822e+00,2.329410493841219676e-01,4.592184806820614473e-01
5.650000000000000355e+00,2.275149603710876767e-01,4.397987936880439208e-01
5.750000000000000000e+00,2.262298340258953322e-01,4.370381519094826417e-01
5.850000000000000533e+00,2.427936846972632290e-01,4.523644735077023693e-01
5.950000000000000178e+00,2.536934599953760139e-01,4.658345014961998154e-01
6.049999999999999822e+00,2.367964284196989733e-01,4.627882760853735400e-01
6.150000000000000355e+00,2.168531714331956850e-01,4.519836953313490779e-01
6.250000000000000000e+00,2.124742224051329176e-01,4.356578310202019466e-01
6.350000000000000533e+00,2.079048842888935045e-01,4.327068001534640218e-01
6.450000000000000178e+00,2.231360113430248815e-01,4.239964993693826067e-01
6.549999999999999822e+00,2.210893286451259820e-01,4.010546142440972184e-01
6.650000000000000355e+00,1.999085425854745246e-01,3.805401899930639931e-01
6.750000000000000000e+00,1.849629991636080883e-01,3.675461347250081334e-01
6.850000000000000533e+00,2.002893207618278160e-01,3.528861749354066935e-01
6.950000000000000178e+00,1.792037292462646536e-01,3.238994362605128741e-01
7.049999999999999822e+00,1.517401032767839997e-01,3.027186502008614166e-01
7.150000000000000355e+00,1.288934126955869064e-01,3.232806717239388172e-01
7.250000000000000000e+00,1.361281980462993035e-01,3.598829739258982974e-01
7.350000000000000533e+00,1.418874679636427383e-01,3.616440729915322283e-01
7.450000000000000178e+00,1.343195017086212251e-01,3.614060866313114628e-01
7.549999999999999822e+00,1.114728111274241318e-01,3.449374305040318611e-01
7.650000000000000355e+00,1.012393976379295929e-01,2.132357787578395003e-01
7.750000000000000000e+00,1.274178972622179162e-01,1.668760357868270539e-01
7.850000000000000533e+00,2.193282295794920511e-01,3.416532187329847647e-01
7.950000000000000178e+00,6.730254267044308292e-02,4.212358575908212860e-02
8.050000000000000711e+00,6.187645365740877985e-03,3.807781763532848158e-03
8.150000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000001776e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.350000000000001421e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.450000000000001066e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.550000000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00
